onset	duration	sample	trial_type	response_time	serialpos	probepos	probe_word	resp_word	study_1	study_2	list	test	answer	experiment	session	subject
0.0	71.316	311542	SESS_START	n/a	-999	-999	n/a	n/a	n/a	n/a	-999	[0, 0, 0]	-999	PAL1	0	R1078N
71.316	1.017	382856	START	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[-999, -999, -999]	-999	PAL1	0	R1078N
72.333	2.617	383873	PROB	2586	-999	-999	n/a	n/a	n/a	n/a	-1	[3, 1, 4]	8	PAL1	0	R1078N
74.95	2.566	386490	PROB	2544	-999	-999	n/a	n/a	n/a	n/a	-1	[9, 5, 3]	17	PAL1	0	R1078N
77.516	4.302	389056	PROB	4275	-999	-999	n/a	n/a	n/a	n/a	-1	[9, 6, 3]	18	PAL1	0	R1078N
81.818	4.284	393358	PROB	4261	-999	-999	n/a	n/a	n/a	n/a	-1	[8, 6, 5]	19	PAL1	0	R1078N
86.102	2.217	397642	PROB	2193	-999	-999	n/a	n/a	n/a	n/a	-1	[4, 8, 2]	14	PAL1	0	R1078N
88.319	2.467	399859	PROB	2448	-999	-999	n/a	n/a	n/a	n/a	-1	[9, 4, 2]	15	PAL1	0	R1078N
90.786	2.788	402326	PROB	2788	-999	-999	n/a	n/a	n/a	n/a	-1	[6, 4, 9]	19	PAL1	0	R1078N
93.574	35.535	405114	STOP	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[-999, -999, -999]	-999	PAL1	0	R1078N
129.109	30.65	440648	FEEDBACK_SHOW_ALL_PAIRS	n/a	-999	-999	n/a	n/a	n/a	n/a	-999	[0, 0, 0]	-999	PAL1	0	R1078N
159.759	10.44	471297	ENCODING_START	n/a	0	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1078N
170.199	0.834	481737	STUDY_ORIENT	n/a	1	1	TRAY	PASS	BED	TRAY	1	[0, 0, 0]	-999	PAL1	0	R1078N
171.033	5.034	482571	STUDY_PAIR	n/a	1	1	TRAY	PASS	BED	TRAY	1	[0, 0, 0]	-999	PAL1	0	R1078N
176.067	0.9	487605	STUDY_ORIENT	n/a	2	2	PIT	PASS	BOX	PIT	1	[0, 0, 0]	-999	PAL1	0	R1078N
176.967	5.018	488505	STUDY_PAIR	n/a	2	2	PIT	PASS	BOX	PIT	1	[0, 0, 0]	-999	PAL1	0	R1078N
181.985	0.916	493523	STUDY_ORIENT	n/a	3	5	SPEAR	n/a	SPONGE	SPEAR	1	[0, 0, 0]	-999	PAL1	0	R1078N
182.901	5.018	494439	STUDY_PAIR	n/a	3	5	SPEAR	n/a	SPONGE	SPEAR	1	[0, 0, 0]	-999	PAL1	0	R1078N
187.919	1.0	499457	STUDY_ORIENT	n/a	4	6	CUBE	n/a	CUBE	JET	1	[0, 0, 0]	-999	PAL1	0	R1078N
188.919	5.018	500456	STUDY_PAIR	n/a	4	6	CUBE	n/a	CUBE	JET	1	[0, 0, 0]	-999	PAL1	0	R1078N
193.937	0.816	505474	STUDY_ORIENT	n/a	5	3	POLE	n/a	POLE	PARK	1	[0, 0, 0]	-999	PAL1	0	R1078N
194.753	5.018	506290	STUDY_PAIR	n/a	5	3	POLE	n/a	POLE	PARK	1	[0, 0, 0]	-999	PAL1	0	R1078N
199.771	0.816	511308	STUDY_ORIENT	n/a	6	4	FOOT	n/a	FOOT	CHALK	1	[0, 0, 0]	-999	PAL1	0	R1078N
200.587	4.018	512124	STUDY_PAIR	n/a	6	4	FOOT	n/a	FOOT	CHALK	1	[0, 0, 0]	-999	PAL1	0	R1078N
204.605	0.999	516142	START	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[-999, -999, -999]	-999	PAL1	0	R1078N
205.604	0.017	517141	MATH_START	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1078N
205.621	2.585	517158	PROB	2554	-999	-999	n/a	n/a	n/a	n/a	1	[7, 8, 5]	20	PAL1	0	R1078N
208.206	2.433	519743	PROB	2408	-999	-999	n/a	n/a	n/a	n/a	1	[8, 8, 6]	22	PAL1	0	R1078N
210.639	3.0	522176	PROB	2967	-999	-999	n/a	n/a	n/a	n/a	1	[8, 7, 9]	24	PAL1	0	R1078N
213.639	3.834	525176	PROB	3807	-999	-999	n/a	n/a	n/a	n/a	1	[8, 7, 9]	24	PAL1	0	R1078N
217.473	3.901	529010	PROB	3877	-999	-999	n/a	n/a	n/a	n/a	1	[7, 6, 8]	21	PAL1	0	R1078N
221.374	3.984	532911	PROB	3984	-999	-999	n/a	n/a	n/a	n/a	1	[6, 2, 6]	14	PAL1	0	R1078N
225.358	0.016	536895	STOP	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[-999, -999, -999]	-999	PAL1	0	R1078N
225.374	0.0	536911	MATH_END	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1078N
225.374	0.017	536911	TEST_START	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1078N
225.391	0.851	536928	TEST_ORIENT	n/a	1	1	TRAY	PASS	BED	TRAY	1	[0, 0, 0]	-999	PAL1	0	R1078N
226.242	0.001	537779	TEST_PROBE	n/a	1	1	TRAY	PASS	BED	TRAY	1	[0, 0, 0]	-999	PAL1	0	R1078N
226.243	1.224	537780	REC_START	n/a	1	-999	n/a	PASS	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1078N
227.467	1.717	539004	REC_EVENT	1224	1	1	TRAY	PASS	BED	TRAY	1	[0, 0, 0]	-999	PAL1	0	R1078N
229.184	1.0	540721	REC_EVENT	2941	1	1	TRAY	<>	BED	TRAY	1	[0, 0, 0]	-999	PAL1	0	R1078N
