onset	duration	sample	trial_type	response_time	stim_file	serialpos	probepos	probe_word	resp_word	study_1	study_2	list	test	answer	experiment	session	subject
0.0	187.659	176475	SESS_START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-999	[0, 0, 0]	-999	PAL1	2	R1185N
187.659	76.325	364126	SESS_START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-999	[0, 0, 0]	-999	PAL1	2	R1185N
263.984	1.016	440449	START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[-999, -999, -999]	-999	PAL1	2	R1185N
265.0	4.401	441465	PROB	4374	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[9, 4, 6]	19	PAL1	2	R1185N
269.401	7.25	445865	PROB	7220	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[4, 9, 2]	15	PAL1	2	R1185N
276.651	3.068	453115	PROB	3034	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[8, 2, 2]	12	PAL1	2	R1185N
279.719	3.251	456183	PROB	3231	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[9, 2, 9]	20	PAL1	2	R1185N
282.97	3.603	459434	PROB	3603	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[9, 5, 4]	18	PAL1	2	R1185N
286.573	70.353	463037	STOP	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[-999, -999, -999]	-999	PAL1	2	R1185N
356.926	10.441	533387	ENCODING_START	n/a	n/a	0	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	2	R1185N
367.367	0.934	543828	STUDY_ORIENT	n/a	n/a	1	5	DUCK	n/a	SPRING	DUCK	1	[0, 0, 0]	-999	PAL1	2	R1185N
368.301	5.034	544762	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	1	5	DUCK	n/a	SPRING	DUCK	1	[0, 0, 0]	-999	PAL1	2	R1185N
373.335	1.0	549795	STUDY_ORIENT	n/a	n/a	2	6	YARD	VEST	YARD	VEST	1	[0, 0, 0]	-999	PAL1	2	R1185N
374.335	5.034	550795	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	2	6	YARD	VEST	YARD	VEST	1	[0, 0, 0]	-999	PAL1	2	R1185N
379.369	0.817	555829	STUDY_ORIENT	n/a	n/a	3	1	PANTS	CALF	PANTS	CALF	1	[0, 0, 0]	-999	PAL1	2	R1185N
380.186	5.034	556646	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	3	1	PANTS	CALF	PANTS	CALF	1	[0, 0, 0]	-999	PAL1	2	R1185N
385.22	0.817	561680	STUDY_ORIENT	n/a	n/a	4	4	FISH	INK	INK	FISH	1	[0, 0, 0]	-999	PAL1	2	R1185N
386.037	5.034	562497	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	4	4	FISH	INK	INK	FISH	1	[0, 0, 0]	-999	PAL1	2	R1185N
391.071	0.934	567531	STUDY_ORIENT	n/a	n/a	5	3	TOE	DOOR	DOOR	TOE	1	[0, 0, 0]	-999	PAL1	2	R1185N
392.005	5.034	568465	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	5	3	TOE	DOOR	DOOR	TOE	1	[0, 0, 0]	-999	PAL1	2	R1185N
397.039	0.934	573499	STUDY_ORIENT	n/a	n/a	6	2	CAT	CHIEF	CAT	CHIEF	1	[0, 0, 0]	-999	PAL1	2	R1185N
397.973	4.017	574433	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	6	2	CAT	CHIEF	CAT	CHIEF	1	[0, 0, 0]	-999	PAL1	2	R1185N
401.99	1.0	578449	START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[-999, -999, -999]	-999	PAL1	2	R1185N
402.99	0.017	579449	MATH_START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	2	R1185N
403.007	4.967	579466	PROB	4935	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[6, 4, 4]	14	PAL1	2	R1185N
407.974	5.101	584433	PROB	5080	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[7, 7, 8]	22	PAL1	2	R1185N
413.075	5.567	589534	PROB	5538	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[9, 4, 4]	17	PAL1	2	R1185N
418.642	14.708	595101	PROB	14708	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[6, 9, 8]	23	PAL1	2	R1185N
433.35	0.012	609808	STOP	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[-999, -999, -999]	-999	PAL1	2	R1185N
433.362	0.0	609820	TEST_START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	2	R1185N
433.362	0.017	609820	MATH_END	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	2	R1185N
433.379	0.95	609837	TEST_ORIENT	n/a	n/a	3	1	PANTS	CALF	PANTS	CALF	1	[0, 0, 0]	-999	PAL1	2	R1185N
434.329	0.0	610787	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	3	1	PANTS	CALF	PANTS	CALF	1	[0, 0, 0]	-999	PAL1	2	R1185N
434.329	1.828	610787	REC_START	n/a	n/a	3	-999	n/a	CALF	n/a	n/a	1	[0, 0, 0]	-999	PAL1	2	R1185N
436.157	3.189	612615	REC_EVENT	1828	n/a	3	1	PANTS	CALF	PANTS	CALF	1	[0, 0, 0]	-999	PAL1	2	R1185N
439.346	0.017	615804	REC_END	n/a	n/a	3	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	2	R1185N
439.363	1.0	615821	TEST_ORIENT	n/a	n/a	6	2	CAT	CHIEF	CAT	CHIEF	1	[0, 0, 0]	-999	PAL1	2	R1185N
440.363	0.0	616821	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	6	2	CAT	CHIEF	CAT	CHIEF	1	[0, 0, 0]	-999	PAL1	2	R1185N
440.363	1.199	616821	REC_START	n/a	n/a	6	-999	n/a	CHIEF	n/a	n/a	1	[0, 0, 0]	-999	PAL1	2	R1185N
441.562	3.818	618020	REC_EVENT	1199	n/a	6	2	CAT	CHIEF	CAT	CHIEF	1	[0, 0, 0]	-999	PAL1	2	R1185N
445.38	0.017	621838	REC_END	n/a	n/a	6	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	2	R1185N
445.397	0.967	621855	TEST_ORIENT	n/a	n/a	5	3	TOE	DOOR	DOOR	TOE	1	[0, 0, 0]	-999	PAL1	2	R1185N
446.364	0.001	622822	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	5	3	TOE	DOOR	DOOR	TOE	1	[0, 0, 0]	-999	PAL1	2	R1185N
446.365	1.1	622823	REC_START	n/a	n/a	5	-999	n/a	DOOR	n/a	n/a	1	[0, 0, 0]	-999	PAL1	2	R1185N
447.465	3.916	623923	REC_EVENT	1100	n/a	5	3	TOE	DOOR	DOOR	TOE	1	[0, 0, 0]	-999	PAL1	2	R1185N
451.381	0.017	627839	REC_END	n/a	n/a	5	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	2	R1185N
451.398	0.967	627856	TEST_ORIENT	n/a	n/a	4	4	FISH	INK	INK	FISH	1	[0, 0, 0]	-999	PAL1	2	R1185N
452.365	0.0	628823	REC_START	n/a	n/a	4	-999	n/a	INK	n/a	n/a	1	[0, 0, 0]	-999	PAL1	2	R1185N
452.365	1.231	628823	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	4	4	FISH	INK	INK	FISH	1	[0, 0, 0]	-999	PAL1	2	R1185N
453.596	3.786	630053	REC_EVENT	1231	n/a	4	4	FISH	INK	INK	FISH	1	[0, 0, 0]	-999	PAL1	2	R1185N
457.382	0.017	633839	REC_END	n/a	n/a	4	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	2	R1185N
457.399	0.884	633856	TEST_ORIENT	n/a	n/a	1	5	DUCK	n/a	SPRING	DUCK	1	[0, 0, 0]	-999	PAL1	2	R1185N
458.283	0.0	634740	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	1	5	DUCK	n/a	SPRING	DUCK	1	[0, 0, 0]	-999	PAL1	2	R1185N
458.283	5.015	634740	REC_START	n/a	n/a	1	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	2	R1185N
463.298	0.002	639755	REC_EVENT	5015	n/a	1	5	DUCK	<>	SPRING	DUCK	1	[0, 0, 0]	-999	PAL1	2	R1185N
463.3	0.017	639757	REC_END	n/a	n/a	1	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	2	R1185N
463.317	1.017	639774	TEST_ORIENT	n/a	n/a	2	6	YARD	VEST	YARD	VEST	1	[0, 0, 0]	-999	PAL1	2	R1185N
464.334	0.0	640791	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	2	6	YARD	VEST	YARD	VEST	1	[0, 0, 0]	-999	PAL1	2	R1185N
464.334	1.775	640791	REC_START	n/a	n/a	2	-999	n/a	VEST	n/a	n/a	1	[0, 0, 0]	-999	PAL1	2	R1185N
466.109	3.242	642566	REC_EVENT	1775	n/a	2	6	YARD	VEST	YARD	VEST	1	[0, 0, 0]	-999	PAL1	2	R1185N
469.351	4.302	645808	REC_END	n/a	n/a	2	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	2	R1185N
473.653	10.451	650110	ENCODING_START	n/a	n/a	0	-999	n/a	n/a	n/a	n/a	2	[0, 0, 0]	-999	PAL1	2	R1185N
484.104	0.8	660560	STUDY_ORIENT	n/a	n/a	1	5	DOCK	HORN	DOCK	HORN	2	[0, 0, 0]	-999	PAL1	2	R1185N
484.904	5.034	661360	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	1	5	DOCK	HORN	DOCK	HORN	2	[0, 0, 0]	-999	PAL1	2	R1185N
489.938	1.034	666394	STUDY_ORIENT	n/a	n/a	2	2	SHARK	SLUSH	SLUSH	SHARK	2	[0, 0, 0]	-999	PAL1	2	R1185N
490.972	5.034	667428	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	2	2	SHARK	SLUSH	SLUSH	SHARK	2	[0, 0, 0]	-999	PAL1	2	R1185N
496.006	0.983	672462	STUDY_ORIENT	n/a	n/a	3	3	CROWN	n/a	SHELL	CROWN	2	[0, 0, 0]	-999	PAL1	2	R1185N
496.989	5.018	673445	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	3	3	CROWN	n/a	SHELL	CROWN	2	[0, 0, 0]	-999	PAL1	2	R1185N
502.007	0.967	678463	STUDY_ORIENT	n/a	n/a	4	4	SWORD	CHEEK	CHEEK	SWORD	2	[0, 0, 0]	-999	PAL1	2	R1185N
502.974	5.034	679430	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	4	4	SWORD	CHEEK	CHEEK	SWORD	2	[0, 0, 0]	-999	PAL1	2	R1185N
508.008	0.883	684463	STUDY_ORIENT	n/a	n/a	5	1	CHALK	PLANE	PLANE	CHALK	2	[0, 0, 0]	-999	PAL1	2	R1185N
508.891	5.018	685346	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	5	1	CHALK	PLANE	PLANE	CHALK	2	[0, 0, 0]	-999	PAL1	2	R1185N
513.909	0.799	690364	STUDY_ORIENT	n/a	n/a	6	6	PIN	n/a	NAIL	PIN	2	[0, 0, 0]	-999	PAL1	2	R1185N
514.708	4.019	691163	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	6	6	PIN	n/a	NAIL	PIN	2	[0, 0, 0]	-999	PAL1	2	R1185N
518.727	0.999	695182	START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	2	[-999, -999, -999]	-999	PAL1	2	R1185N
519.726	0.017	696181	MATH_START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	2	[0, 0, 0]	-999	PAL1	2	R1185N
519.743	5.268	696198	PROB	5247	n/a	-999	-999	n/a	n/a	n/a	n/a	2	[3, 5, 3]	11	PAL1	2	R1185N
525.011	4.867	701466	PROB	4835	n/a	-999	-999	n/a	n/a	n/a	n/a	2	[5, 3, 9]	17	PAL1	2	R1185N
529.878	3.351	706333	PROB	3328	n/a	-999	-999	n/a	n/a	n/a	n/a	2	[6, 7, 4]	17	PAL1	2	R1185N
533.229	7.272	709683	PROB	7272	n/a	-999	-999	n/a	n/a	n/a	n/a	2	[5, 2, 6]	13	PAL1	2	R1185N
540.501	0.011	716955	STOP	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	2	[-999, -999, -999]	-999	PAL1	2	R1185N
540.512	0.0	716966	MATH_END	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	2	[0, 0, 0]	-999	PAL1	2	R1185N
540.512	0.017	716966	TEST_START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	2	[0, 0, 0]	-999	PAL1	2	R1185N
540.529	0.851	716983	TEST_ORIENT	n/a	n/a	5	1	CHALK	PLANE	PLANE	CHALK	2	[0, 0, 0]	-999	PAL1	2	R1185N
541.38	0.0	717834	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	5	1	CHALK	PLANE	PLANE	CHALK	2	[0, 0, 0]	-999	PAL1	2	R1185N
