onset	duration	sample	trial_type	response_time	stim_file	serialpos	probepos	probe_word	resp_word	study_1	study_2	list	test	answer	experiment	session	subject
0.0	0.0	47946	INSTRUCT_VIDEO_ON	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-999	[0, 0, 0]	-999	PAL1	2	R1232N
0.0	5.428	47946	INSTRUCT_VIDEO_OFF	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-999	[0, 0, 0]	-999	PAL1	2	R1232N
5.428	0.0	53374	SESS_START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-999	[0, 0, 0]	-999	PAL1	2	R1232N
5.428	79.183	53374	MIC_TEST	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-999	[0, 0, 0]	-999	PAL1	2	R1232N
84.611	12.699	132554	PRACTICE_TRIAL	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	2	R1232N
97.31	0.007	145252	ENCODING_START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	2	R1232N
97.317	0.266	145259	PRACTICE_ORIENT	n/a	n/a	1	5	FLOOD	WATCH	FLOOD	WATCH	-1	[0, 0, 0]	-999	PAL1	2	R1232N
97.583	0.55	145525	PRACTICE_ORIENT_OFF	n/a	n/a	1	5	FLOOD	WATCH	FLOOD	WATCH	-1	[0, 0, 0]	-999	PAL1	2	R1232N
98.133	4.018	146075	PRACTICE_PAIR	n/a	n/a	1	5	FLOOD	WATCH	FLOOD	WATCH	-1	[0, 0, 0]	-999	PAL1	2	R1232N
102.151	1.017	150093	PRACTICE_PAIR_OFF	n/a	n/a	1	5	FLOOD	WATCH	FLOOD	WATCH	-1	[0, 0, 0]	-999	PAL1	2	R1232N
103.168	0.266	151110	PRACTICE_ORIENT	n/a	n/a	2	2	COTTON	RING	COTTON	IRON	-1	[0, 0, 0]	-999	PAL1	2	R1232N
103.434	0.667	151376	PRACTICE_ORIENT_OFF	n/a	n/a	2	2	COTTON	RING	COTTON	IRON	-1	[0, 0, 0]	-999	PAL1	2	R1232N
104.101	4.017	152043	PRACTICE_PAIR	n/a	n/a	2	2	COTTON	RING	COTTON	IRON	-1	[0, 0, 0]	-999	PAL1	2	R1232N
