onset	duration	sample	trial_type	response_time	stim_file	serialpos	probepos	probe_word	resp_word	study_1	study_2	list	test	answer	experiment	session	subject
0.0	101.364	389774	SESS_START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-999	[0, 0, 0]	-999	PAL1	0	R1097N
101.364	0.414	491089	START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[-999, -999, -999]	-999	PAL1	0	R1097N
101.778	5.998	491503	PROB	5994	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[8, 1, 1]	10	PAL1	0	R1097N
107.776	7.107	497498	PROB	7103	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[8, 1, 6]	14	PAL1	0	R1097N
114.883	21.189	504602	PROB	21189	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[7, 9, 8]	24	PAL1	0	R1097N
136.072	28.476	525781	STOP	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[-999, -999, -999]	-999	PAL1	0	R1097N
164.548	0.004	554243	ENCODING_START	n/a	n/a	0	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1097N
164.552	0.816	554247	STUDY_ORIENT	n/a	n/a	1	3	FACE	n/a	PALM	FACE	1	[0, 0, 0]	-999	PAL1	0	R1097N
165.368	5.001	555063	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	1	3	FACE	n/a	PALM	FACE	1	[0, 0, 0]	-999	PAL1	0	R1097N
170.369	0.846	560062	STUDY_ORIENT	n/a	n/a	2	6	TRAY	PASS	CONE	TRAY	1	[0, 0, 0]	-999	PAL1	0	R1097N
171.215	5.001	560907	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	2	6	TRAY	PASS	CONE	TRAY	1	[0, 0, 0]	-999	PAL1	0	R1097N
176.216	0.878	565906	STUDY_ORIENT	n/a	n/a	3	1	SHIP	n/a	LAMP	SHIP	1	[0, 0, 0]	-999	PAL1	0	R1097N
177.094	5.001	566783	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	3	1	SHIP	n/a	LAMP	SHIP	1	[0, 0, 0]	-999	PAL1	0	R1097N
182.095	0.954	571782	STUDY_ORIENT	n/a	n/a	4	2	CLOWN	SHIP	CART	CLOWN	1	[0, 0, 0]	-999	PAL1	0	R1097N
183.049	5.0	572736	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	4	2	CLOWN	SHIP	CART	CLOWN	1	[0, 0, 0]	-999	PAL1	0	R1097N
188.049	0.942	577733	STUDY_ORIENT	n/a	n/a	5	5	DOLL	PASS	DOLL	TRAIN	1	[0, 0, 0]	-999	PAL1	0	R1097N
188.991	5.0	578675	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	5	5	DOLL	PASS	DOLL	TRAIN	1	[0, 0, 0]	-999	PAL1	0	R1097N
193.991	0.878	583672	STUDY_ORIENT	n/a	n/a	6	4	BOX	PASS	SHRIMP	BOX	1	[0, 0, 0]	-999	PAL1	0	R1097N
194.869	4.001	584550	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	6	4	BOX	PASS	SHRIMP	BOX	1	[0, 0, 0]	-999	PAL1	0	R1097N
198.87	0.999	588549	START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[-999, -999, -999]	-999	PAL1	0	R1097N
199.869	0.001	589548	MATH_START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1097N
199.87	10.743	589549	PROB	10738	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[6, 2, 8]	16	PAL1	0	R1097N
210.613	7.652	600287	PROB	7647	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[4, 2, 5]	11	PAL1	0	R1097N
218.265	6.094	607935	PROB	6094	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[2, 9, 7]	18	PAL1	0	R1097N
224.359	0.001	614026	STOP	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[-999, -999, -999]	-999	PAL1	0	R1097N
224.36	0.0	614027	MATH_END	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1097N
224.36	0.002	614027	TEST_START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1097N
224.362	0.915	614029	TEST_ORIENT	n/a	n/a	3	1	SHIP	n/a	LAMP	SHIP	1	[0, 0, 0]	-999	PAL1	0	R1097N
225.277	0.341	614944	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	3	1	SHIP	n/a	LAMP	SHIP	1	[0, 0, 0]	-999	PAL1	0	R1097N
225.618	2.211	615284	REC_START	n/a	n/a	3	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1097N
227.829	2.448	617494	REC_EVENT	2211	n/a	3	1	SHIP	<>	LAMP	SHIP	1	[0, 0, 0]	-999	PAL1	0	R1097N
230.277	0.016	619941	REC_END	n/a	n/a	3	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1097N
230.293	0.79	619957	TEST_ORIENT	n/a	n/a	4	2	CLOWN	SHIP	CART	CLOWN	1	[0, 0, 0]	-999	PAL1	0	R1097N
231.083	0.002	620747	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	4	2	CLOWN	SHIP	CART	CLOWN	1	[0, 0, 0]	-999	PAL1	0	R1097N
231.085	2.792	620749	REC_START	n/a	n/a	4	-999	n/a	SHIP	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1097N
233.877	1.0	623540	REC_EVENT	2792	n/a	4	2	CLOWN	SHIP	CART	CLOWN	1	[0, 0, 0]	-999	PAL1	0	R1097N
234.877	1.206	624539	REC_EVENT	3792	n/a	4	2	CLOWN	<>	CART	CLOWN	1	[0, 0, 0]	-999	PAL1	0	R1097N
236.083	0.018	625745	REC_END	n/a	n/a	4	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1097N
236.101	0.956	625762	TEST_ORIENT	n/a	n/a	1	3	FACE	n/a	PALM	FACE	1	[0, 0, 0]	-999	PAL1	0	R1097N
237.057	0.001	626718	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	1	3	FACE	n/a	PALM	FACE	1	[0, 0, 0]	-999	PAL1	0	R1097N
237.058	1.7	626719	REC_START	n/a	n/a	1	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1097N
238.758	1.0	628418	REC_EVENT	1700	n/a	1	3	FACE	<>	PALM	FACE	1	[0, 0, 0]	-999	PAL1	0	R1097N
239.758	1.0	629418	REC_EVENT	2700	n/a	1	3	FACE	<>	PALM	FACE	1	[0, 0, 0]	-999	PAL1	0	R1097N
240.758	1.299	630417	REC_EVENT	3700	n/a	1	3	FACE	<>	PALM	FACE	1	[0, 0, 0]	-999	PAL1	0	R1097N
242.057	0.017	631716	REC_END	n/a	n/a	1	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1097N
242.074	0.968	631733	TEST_ORIENT	n/a	n/a	6	4	BOX	PASS	SHRIMP	BOX	1	[0, 0, 0]	-999	PAL1	0	R1097N
243.042	0.001	632700	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	6	4	BOX	PASS	SHRIMP	BOX	1	[0, 0, 0]	-999	PAL1	0	R1097N
243.043	3.604	632701	REC_START	n/a	n/a	6	-999	n/a	PASS	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1097N
246.647	1.395	636303	REC_EVENT	3604	n/a	6	4	BOX	PASS	SHRIMP	BOX	1	[0, 0, 0]	-999	PAL1	0	R1097N
248.042	0.017	637698	REC_END	n/a	n/a	6	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1097N
248.059	0.811	637715	TEST_ORIENT	n/a	n/a	5	5	DOLL	PASS	DOLL	TRAIN	1	[0, 0, 0]	-999	PAL1	0	R1097N
248.87	0.001	638525	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	5	5	DOLL	PASS	DOLL	TRAIN	1	[0, 0, 0]	-999	PAL1	0	R1097N
248.871	2.348	638526	REC_START	n/a	n/a	5	-999	n/a	PASS	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1097N
