onset	duration	sample	trial_type	response_time	stim_file	serialpos	probepos	probe_word	resp_word	study_1	study_2	list	test	answer	experiment	session	subject
0.0	357.425	23388	SESS_START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-999	[0, 0, 0]	-999	PAL1	1	R1121M
357.425	10.448	202086	STUDY_START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	6	[0, 0, 0]	-999	PAL1	1	R1121M
367.873	1.0	207310	STUDY_ORIENT	n/a	n/a	1	1	ROSE	SMOKE	SMOKE	ROSE	6	[0, 0, 0]	-999	PAL1	1	R1121M
368.873	5.018	207810	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	1	1	ROSE	SMOKE	SMOKE	ROSE	6	[0, 0, 0]	-999	PAL1	1	R1121M
373.891	0.833	210318	STUDY_ORIENT	n/a	n/a	2	2	JET	ROAD	JET	ROAD	6	[0, 0, 0]	-999	PAL1	1	R1121M
374.724	5.018	210735	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	2	2	JET	ROAD	JET	ROAD	6	[0, 0, 0]	-999	PAL1	1	R1121M
379.742	0.95	213244	STUDY_ORIENT	n/a	n/a	3	5	SPARK	n/a	SPARK	BEAN	6	[0, 0, 0]	-999	PAL1	1	R1121M
380.692	5.018	213719	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	3	5	SPARK	n/a	SPARK	BEAN	6	[0, 0, 0]	-999	PAL1	1	R1121M
385.71	0.866	216228	STUDY_ORIENT	n/a	n/a	4	4	SHIP	FORT	FORT	SHIP	6	[0, 0, 0]	-999	PAL1	1	R1121M
386.576	5.018	216660	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	4	4	SHIP	FORT	FORT	SHIP	6	[0, 0, 0]	-999	PAL1	1	R1121M
391.594	1.0	219169	STUDY_ORIENT	n/a	n/a	5	3	MUD	n/a	BEE	MUD	6	[0, 0, 0]	-999	PAL1	1	R1121M
392.594	5.018	219669	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	5	3	MUD	n/a	BEE	MUD	6	[0, 0, 0]	-999	PAL1	1	R1121M
397.612	0.9	222178	STUDY_ORIENT	n/a	n/a	6	6	TANK	n/a	HOOK	TANK	6	[0, 0, 0]	-999	PAL1	1	R1121M
