onset	duration	sample	trial_type	response_time	stim_file	serialpos	probepos	probe_word	resp_word	study_1	study_2	list	test	answer	experiment	session	subject
0.0	76.964	747639	SESS_START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-999	[0, 0, 0]	-999	PAL1	2	R1091N
76.964	1.016	824601	START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[-999, -999, -999]	-999	PAL1	2	R1091N
77.98	6.735	825616	PROB	6.711	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[1, 2, 8]	11	PAL1	2	R1091N
84.715	6.168	832351	PROB	6.144	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[5, 2, 8]	11	PAL1	2	R1091N
90.883	5.2	838519	PROB	5.168	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[9, 4, 8]	21	PAL1	2	R1091N
96.083	8.239	843719	PROB	8.239	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[9, 2, 5]	16	PAL1	2	R1091N
104.322	53.0	851958	STOP	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[-999, -999, -999]	-999	PAL1	2	R1091N
157.322	10.44	904956	ENCODING_START	n/a	n/a	0	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	2	R1091N
167.762	0.275	915395	STUDY_ORIENT	n/a	n/a	1	1	BIRD	n/a	WORLD	BIRD	1	[0, 0, 0]	-999	PAL1	2	R1091N
168.762	4.0	916395	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	1	1	BIRD	n/a	WORLD	BIRD	1	[0, 0, 0]	-999	PAL1	2	R1091N
173.78	0.275	921413	STUDY_ORIENT	n/a	n/a	2	6	SMOKE	HORN	MAP	SMOKE	1	[0, 0, 0]	-999	PAL1	2	R1091N
174.58	4.0	922213	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	2	6	SMOKE	HORN	MAP	SMOKE	1	[0, 0, 0]	-999	PAL1	2	R1091N
179.614	0.275	927247	STUDY_ORIENT	n/a	n/a	3	5	HORN	MOOSE	HORN	MOOSE	1	[0, 0, 0]	-999	PAL1	2	R1091N
180.514	4.0	928147	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	3	5	HORN	MOOSE	HORN	MOOSE	1	[0, 0, 0]	-999	PAL1	2	R1091N
185.532	0.275	933165	STUDY_ORIENT	n/a	n/a	4	4	CLIFF	EGG	CLIFF	EGG	1	[0, 0, 0]	-999	PAL1	2	R1091N
186.415	4.0	934048	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	4	4	CLIFF	EGG	CLIFF	EGG	1	[0, 0, 0]	-999	PAL1	2	R1091N
191.433	0.275	939065	STUDY_ORIENT	n/a	n/a	5	3	JAR	PIPE	JAR	PIPE	1	[0, 0, 0]	-999	PAL1	2	R1091N
192.249	4.0	939881	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	5	3	JAR	PIPE	JAR	PIPE	1	[0, 0, 0]	-999	PAL1	2	R1091N
197.283	0.275	944915	STUDY_ORIENT	n/a	n/a	6	2	SUN	n/a	FLAME	SUN	1	[0, 0, 0]	-999	PAL1	2	R1091N
198.216	4.0	945848	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	6	2	SUN	n/a	FLAME	SUN	1	[0, 0, 0]	-999	PAL1	2	R1091N
202.217	1.0	949849	START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[-999, -999, -999]	-999	PAL1	2	R1091N
203.217	0.017	950849	MATH_START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	2	R1091N
203.234	5.518	950866	PROB	5.489	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[3, 1, 1]	5	PAL1	2	R1091N
208.752	4.251	956384	PROB	4.227	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[1, 1, 8]	10	PAL1	2	R1091N
213.003	4.868	960635	PROB	4.848	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[6, 6, 3]	15	PAL1	2	R1091N
217.871	5.028	965502	PROB	5.028	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[2, 6, 5]	13	PAL1	2	R1091N
222.899	0.006	970530	STOP	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[-999, -999, -999]	-999	PAL1	2	R1091N
222.905	0.0	970536	MATH_END	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	2	R1091N
222.905	0.017	970536	TEST_START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	2	R1091N
222.922	0.275	970553	TEST_ORIENT	n/a	n/a	1	1	BIRD	n/a	WORLD	BIRD	1	[0, 0, 0]	-999	PAL1	2	R1091N
223.805	4.0	971436	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	1	1	BIRD	n/a	WORLD	BIRD	1	[0, 0, 0]	-999	PAL1	2	R1091N
223.806	1.356	971437	REC_START	n/a	n/a	1	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	2	R1091N
225.162	3.668	972793	REC_EVENT	1.356	n/a	1	1	BIRD	<>	WORLD	BIRD	1	[0, 0, 0]	-999	PAL1	2	R1091N
