onset	duration	sample	trial_type	response_time	serialpos	probepos	probe_word	resp_word	study_1	study_2	list	test	answer	experiment	session	subject
0.0	69.239	207172	SESS_START	n/a	-999	-999	n/a	n/a	n/a	n/a	-999	[0, 0, 0]	-999	PAL1	0	R1102P
69.239	1.016	241789	START	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[-999, -999, -999]	-999	PAL1	0	R1102P
70.255	4.884	242297	PROB	4855	-999	-999	n/a	n/a	n/a	n/a	-1	[2, 4, 3]	9	PAL1	0	R1102P
75.139	4.752	244739	PROB	4732	-999	-999	n/a	n/a	n/a	n/a	-1	[5, 8, 3]	16	PAL1	0	R1102P
79.891	4.517	247115	PROB	4483	-999	-999	n/a	n/a	n/a	n/a	-1	[6, 2, 7]	15	PAL1	0	R1102P
84.408	7.39	249373	PROB	7390	-999	-999	n/a	n/a	n/a	n/a	-1	[9, 5, 4]	18	PAL1	0	R1102P
91.798	43.88	253068	STOP	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[-999, -999, -999]	-999	PAL1	0	R1102P
135.678	10.442	275006	ENCODING_START	n/a	0	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1102P
146.12	0.801	280226	STUDY_ORIENT	n/a	1	3	BLUSH	PIG	BLUSH	PIG	1	[0, 0, 0]	-999	PAL1	0	R1102P
146.921	5.034	280627	STUDY_PAIR	n/a	1	3	BLUSH	PIG	BLUSH	PIG	1	[0, 0, 0]	-999	PAL1	0	R1102P
151.955	0.866	283144	STUDY_ORIENT	n/a	2	4	DUCK	n/a	DUCK	VASE	1	[0, 0, 0]	-999	PAL1	0	R1102P
152.821	5.034	283577	STUDY_PAIR	n/a	2	4	DUCK	n/a	DUCK	VASE	1	[0, 0, 0]	-999	PAL1	0	R1102P
157.855	0.95	286093	STUDY_ORIENT	n/a	3	5	OWL	n/a	SHELL	OWL	1	[0, 0, 0]	-999	PAL1	0	R1102P
158.805	5.018	286568	STUDY_PAIR	n/a	3	5	OWL	n/a	SHELL	OWL	1	[0, 0, 0]	-999	PAL1	0	R1102P
163.823	0.85	289077	STUDY_ORIENT	n/a	4	2	SHIP	n/a	SHIP	LAWN	1	[0, 0, 0]	-999	PAL1	0	R1102P
164.673	5.018	289502	STUDY_PAIR	n/a	4	2	SHIP	n/a	SHIP	LAWN	1	[0, 0, 0]	-999	PAL1	0	R1102P
