onset	duration	sample	trial_type	response_time	serialpos	probepos	probe_word	resp_word	study_1	study_2	list	test	answer	experiment	session	subject
0.0	63.352	407505	SESS_START	n/a	-999	-999	n/a	n/a	n/a	n/a	-999	[0, 0, 0]	-999	PAL1	1	R1091N
63.352	1.017	470854	START	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[-999, -999, -999]	-999	PAL1	1	R1091N
64.369	5.802	471871	PROB	5767	-999	-999	n/a	n/a	n/a	n/a	-1	[4, 4, 2]	10	PAL1	1	R1091N
70.171	5.383	477673	PROB	5356	-999	-999	n/a	n/a	n/a	n/a	-1	[1, 6, 6]	13	PAL1	1	R1091N
75.554	4.901	483056	PROB	4877	-999	-999	n/a	n/a	n/a	n/a	-1	[9, 6, 4]	19	PAL1	1	R1091N
80.455	10.392	487957	PROB	10392	-999	-999	n/a	n/a	n/a	n/a	-1	[4, 5, 7]	16	PAL1	1	R1091N
90.847	55.872	498348	STOP	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[-999, -999, -999]	-999	PAL1	1	R1091N
146.719	10.45	554218	ENCODING_START	n/a	0	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	1	R1091N
157.169	0.95	564668	STUDY_ORIENT	n/a	1	5	PURSE	n/a	PEA	PURSE	1	[0, 0, 0]	-999	PAL1	1	R1091N
158.119	5.018	565618	STUDY_PAIR	n/a	1	5	PURSE	n/a	PEA	PURSE	1	[0, 0, 0]	-999	PAL1	1	R1091N
163.137	0.782	570636	STUDY_ORIENT	n/a	2	2	BEAK	n/a	CORN	BEAK	1	[0, 0, 0]	-999	PAL1	1	R1091N
163.919	5.018	571418	STUDY_PAIR	n/a	2	2	BEAK	n/a	CORN	BEAK	1	[0, 0, 0]	-999	PAL1	1	R1091N
168.937	0.833	576435	STUDY_ORIENT	n/a	3	1	POND	n/a	CAKE	POND	1	[0, 0, 0]	-999	PAL1	1	R1091N
169.77	5.034	577268	STUDY_PAIR	n/a	3	1	POND	n/a	CAKE	POND	1	[0, 0, 0]	-999	PAL1	1	R1091N
174.804	0.951	582302	STUDY_ORIENT	n/a	4	4	PEAR	n/a	PEAR	BOOT	1	[0, 0, 0]	-999	PAL1	1	R1091N
175.755	5.034	583253	STUDY_PAIR	n/a	4	4	PEAR	n/a	PEAR	BOOT	1	[0, 0, 0]	-999	PAL1	1	R1091N
180.789	0.917	588287	STUDY_ORIENT	n/a	5	3	STAR	n/a	TOE	STAR	1	[0, 0, 0]	-999	PAL1	1	R1091N
181.706	5.034	589204	STUDY_PAIR	n/a	5	3	STAR	n/a	TOE	STAR	1	[0, 0, 0]	-999	PAL1	1	R1091N
186.74	0.916	594238	STUDY_ORIENT	n/a	6	6	BROOM	n/a	BROOM	STRING	1	[0, 0, 0]	-999	PAL1	1	R1091N
187.656	4.002	595154	STUDY_PAIR	n/a	6	6	BROOM	n/a	BROOM	STRING	1	[0, 0, 0]	-999	PAL1	1	R1091N
191.658	0.999	599156	START	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[-999, -999, -999]	-999	PAL1	1	R1091N
192.657	0.017	600155	MATH_START	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	1	R1091N
192.674	4.134	600172	PROB	4109	-999	-999	n/a	n/a	n/a	n/a	1	[1, 8, 2]	11	PAL1	1	R1091N
196.808	5.201	604305	PROB	5167	-999	-999	n/a	n/a	n/a	n/a	1	[6, 9, 3]	15	PAL1	1	R1091N
202.009	4.217	609506	PROB	4183	-999	-999	n/a	n/a	n/a	n/a	1	[8, 2, 5]	15	PAL1	1	R1091N
206.226	3.534	613723	PROB	3501	-999	-999	n/a	n/a	n/a	n/a	1	[1, 2, 3]	6	PAL1	1	R1091N
209.76	4.863	617257	PROB	4863	-999	-999	n/a	n/a	n/a	n/a	1	[4, 2, 9]	15	PAL1	1	R1091N
214.623	0.005	622120	STOP	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[-999, -999, -999]	-999	PAL1	1	R1091N
214.628	0.0	622125	MATH_END	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	1	R1091N
214.628	0.016	622125	TEST_START	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	1	R1091N
214.644	0.984	622141	TEST_ORIENT	n/a	3	1	POND	n/a	CAKE	POND	1	[0, 0, 0]	-999	PAL1	1	R1091N
215.628	0.002	623125	TEST_PROBE	n/a	3	1	POND	n/a	CAKE	POND	1	[0, 0, 0]	-999	PAL1	1	R1091N
215.63	4.998	623127	REC_START	n/a	3	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	1	R1091N
220.628	0.0	628124	REC_EVENT	4998	3	1	POND	<>	CAKE	POND	1	[0, 0, 0]	-999	PAL1	1	R1091N
220.628	0.017	628124	REC_END	n/a	3	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	1	R1091N
220.645	0.817	628141	TEST_ORIENT	n/a	2	2	BEAK	n/a	CORN	BEAK	1	[0, 0, 0]	-999	PAL1	1	R1091N
221.462	0.001	628958	TEST_PROBE	n/a	2	2	BEAK	n/a	CORN	BEAK	1	[0, 0, 0]	-999	PAL1	1	R1091N
221.463	1.814	628959	REC_START	n/a	2	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	1	R1091N
223.277	3.194	630773	REC_EVENT	1814	2	2	BEAK	<>	CORN	BEAK	1	[0, 0, 0]	-999	PAL1	1	R1091N
226.471	0.009	633967	REC_END	n/a	2	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	1	R1091N
226.48	0.95	633976	TEST_ORIENT	n/a	5	3	STAR	n/a	TOE	STAR	1	[0, 0, 0]	-999	PAL1	1	R1091N
227.43	0.001	634926	TEST_PROBE	n/a	5	3	STAR	n/a	TOE	STAR	1	[0, 0, 0]	-999	PAL1	1	R1091N
227.431	0.84	634927	REC_START	n/a	5	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	1	R1091N
228.271	1.0	635767	REC_EVENT	840	5	3	STAR	<>	TOE	STAR	1	[0, 0, 0]	-999	PAL1	1	R1091N
229.271	1.0	636767	REC_EVENT	1840	5	3	STAR	<>	TOE	STAR	1	[0, 0, 0]	-999	PAL1	1	R1091N
230.271	1.0	637767	REC_EVENT	2840	5	3	STAR	<>	TOE	STAR	1	[0, 0, 0]	-999	PAL1	1	R1091N
