onset	duration	sample	trial_type	response_time	stim_file	serialpos	probepos	probe_word	resp_word	study_1	study_2	list	test	answer	experiment	session	subject
0.0	100.082	336434	INSTRUCT_VIDEO_ON	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-999	[0, 0, 0]	-999	PAL1	3	R1196N
100.082	0.0	436512	INSTRUCT_VIDEO_ON	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-999	[0, 0, 0]	-999	PAL1	3	R1196N
100.082	5.561	436512	INSTRUCT_VIDEO_OFF	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-999	[0, 0, 0]	-999	PAL1	3	R1196N
105.643	0.0	442072	SESS_START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-999	[0, 0, 0]	-999	PAL1	3	R1196N
105.643	46.0	442072	MIC_TEST	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-999	[0, 0, 0]	-999	PAL1	3	R1196N
151.643	13.343	488071	PRACTICE_TRIAL	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	3	R1196N
164.986	0.007	501413	ENCODING_START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	3	R1196N
164.993	0.267	501420	PRACTICE_ORIENT	n/a	n/a	1	3	BEAM	ATTIC	BEAM	ATTIC	-1	[0, 0, 0]	-999	PAL1	3	R1196N
165.26	0.7	501687	PRACTICE_ORIENT_OFF	n/a	n/a	1	3	BEAM	ATTIC	BEAM	ATTIC	-1	[0, 0, 0]	-999	PAL1	3	R1196N
165.96	4.0	502387	PRACTICE_PAIR	n/a	n/a	1	3	BEAM	ATTIC	BEAM	ATTIC	-1	[0, 0, 0]	-999	PAL1	3	R1196N
169.977	1.017	506404	PRACTICE_PAIR_OFF	n/a	n/a	1	3	BEAM	ATTIC	BEAM	ATTIC	-1	[0, 0, 0]	-999	PAL1	3	R1196N
170.994	0.267	507421	PRACTICE_ORIENT	n/a	n/a	2	2	TONGUE	WAGON	WAGON	TONGUE	-1	[0, 0, 0]	-999	PAL1	3	R1196N
171.261	0.683	507688	PRACTICE_ORIENT_OFF	n/a	n/a	2	2	TONGUE	WAGON	WAGON	TONGUE	-1	[0, 0, 0]	-999	PAL1	3	R1196N
171.944	4.0	508371	PRACTICE_PAIR	n/a	n/a	2	2	TONGUE	WAGON	WAGON	TONGUE	-1	[0, 0, 0]	-999	PAL1	3	R1196N
175.962	1.017	512389	PRACTICE_PAIR_OFF	n/a	n/a	2	2	TONGUE	WAGON	WAGON	TONGUE	-1	[0, 0, 0]	-999	PAL1	3	R1196N
176.979	0.266	513406	PRACTICE_ORIENT	n/a	n/a	3	5	CAMEL	n/a	CAMEL	WATCH	-1	[0, 0, 0]	-999	PAL1	3	R1196N
177.245	0.65	513672	PRACTICE_ORIENT_OFF	n/a	n/a	3	5	CAMEL	n/a	CAMEL	WATCH	-1	[0, 0, 0]	-999	PAL1	3	R1196N
177.895	4.0	514321	PRACTICE_PAIR	n/a	n/a	3	5	CAMEL	n/a	CAMEL	WATCH	-1	[0, 0, 0]	-999	PAL1	3	R1196N
181.913	1.017	518339	PRACTICE_PAIR_OFF	n/a	n/a	3	5	CAMEL	n/a	CAMEL	WATCH	-1	[0, 0, 0]	-999	PAL1	3	R1196N
182.93	0.266	519356	PRACTICE_ORIENT	n/a	n/a	4	4	FLOOD	IRON	FLOOD	IRON	-1	[0, 0, 0]	-999	PAL1	3	R1196N
183.196	0.616	519622	PRACTICE_ORIENT_OFF	n/a	n/a	4	4	FLOOD	IRON	FLOOD	IRON	-1	[0, 0, 0]	-999	PAL1	3	R1196N
183.812	4.0	520238	PRACTICE_PAIR	n/a	n/a	4	4	FLOOD	IRON	FLOOD	IRON	-1	[0, 0, 0]	-999	PAL1	3	R1196N
187.829	1.017	524255	PRACTICE_PAIR_OFF	n/a	n/a	4	4	FLOOD	IRON	FLOOD	IRON	-1	[0, 0, 0]	-999	PAL1	3	R1196N
188.846	0.251	525272	PRACTICE_ORIENT	n/a	n/a	5	1	COTTON	RING	RING	COTTON	-1	[0, 0, 0]	-999	PAL1	3	R1196N
189.097	0.584	525523	PRACTICE_ORIENT_OFF	n/a	n/a	5	1	COTTON	RING	RING	COTTON	-1	[0, 0, 0]	-999	PAL1	3	R1196N
189.681	4.0	526107	PRACTICE_PAIR	n/a	n/a	5	1	COTTON	RING	RING	COTTON	-1	[0, 0, 0]	-999	PAL1	3	R1196N
193.698	1.017	530124	PRACTICE_PAIR_OFF	n/a	n/a	5	1	COTTON	RING	RING	COTTON	-1	[0, 0, 0]	-999	PAL1	3	R1196N
194.715	0.267	531141	PRACTICE_ORIENT	n/a	n/a	6	6	RHINO	CHEST	CHEST	RHINO	-1	[0, 0, 0]	-999	PAL1	3	R1196N
194.982	0.533	531408	PRACTICE_ORIENT_OFF	n/a	n/a	6	6	RHINO	CHEST	CHEST	RHINO	-1	[0, 0, 0]	-999	PAL1	3	R1196N
195.515	4.0	531941	PRACTICE_PAIR	n/a	n/a	6	6	RHINO	CHEST	CHEST	RHINO	-1	[0, 0, 0]	-999	PAL1	3	R1196N
199.532	1.0	535958	PRACTICE_PAIR_OFF	n/a	n/a	6	6	RHINO	CHEST	CHEST	RHINO	-1	[0, 0, 0]	-999	PAL1	3	R1196N
200.532	0.0	536958	ENCODING_END	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	3	R1196N
200.532	0.0	536958	MATH_START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	3	R1196N
200.532	0.017	536958	START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[-999, -999, -999]	-999	PAL1	3	R1196N
200.549	3.234	536975	PROB	3198.0	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[9, 1, 7]	17	PAL1	3	R1196N
203.783	4.884	540208	PROB	4852.0	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[4, 5, 8]	17	PAL1	3	R1196N
208.667	2.784	545092	PROB	2761.0	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[9, 7, 6]	22	PAL1	3	R1196N
211.451	2.9	547876	PROB	2873.0	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[1, 1, 7]	9	PAL1	3	R1196N
214.351	2.868	550776	PROB	2845.0	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[4, 8, 5]	17	PAL1	3	R1196N
217.219	3.648	553644	PROB	3648.0	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[5, 8, 4]	17	PAL1	3	R1196N
220.867	0.018	557292	STOP	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[-999, -999, -999]	-999	PAL1	3	R1196N
220.885	0.0	557310	MATH_END	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	3	R1196N
220.885	0.018	557310	RECALL_START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	3	R1196N
220.903	0.266	557328	PRACTICE_RETRIEVAL_ORIENT	n/a	n/a	5	1	COTTON	RING	RING	COTTON	-1	[0, 0, 0]	-999	PAL1	3	R1196N
221.169	0.517	557594	PRACTICE_RETRIEVAL_ORIENT_OFF	n/a	n/a	5	1	COTTON	RING	RING	COTTON	-1	[0, 0, 0]	-999	PAL1	3	R1196N
221.686	4.0	558111	PRACTICE_PROBE	n/a	n/a	5	1	COTTON	RING	RING	COTTON	-1	[0, 0, 0]	-999	PAL1	3	R1196N
221.687	1.389	558112	REC_START	n/a	n/a	5	-999	n/a	RING	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	3	R1196N
223.076	2.627	559501	REC_EVENT	1389.0	n/a	5	1	COTTON	RING	RING	COTTON	-1	[0, 0, 0]	-999	PAL1	3	R1196N
225.703	1.001	562128	PROBE_OFF	n/a	n/a	5	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	3	R1196N
226.704	0.016	563129	REC_END	n/a	n/a	5	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	3	R1196N
226.72	0.267	563145	PRACTICE_RETRIEVAL_ORIENT	n/a	n/a	2	2	TONGUE	WAGON	WAGON	TONGUE	-1	[0, 0, 0]	-999	PAL1	3	R1196N
