onset	duration	sample	trial_type	response_time	stim_file	serialpos	probepos	probe_word	resp_word	study_1	study_2	list	test	answer	experiment	session	subject
0.0	0.0	22040	INSTRUCT_VIDEO_ON	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-999	[0, 0, 0]	-999	PAL1	1	R1284N
0.0	5.642	22040	INSTRUCT_VIDEO_OFF	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-999	[0, 0, 0]	-999	PAL1	1	R1284N
5.642	0.0	27682	SESS_START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-999	[0, 0, 0]	-999	PAL1	1	R1284N
5.642	148.561	27682	MIC_TEST	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-999	[0, 0, 0]	-999	PAL1	1	R1284N
154.203	13.28	176242	PRACTICE_TRIAL	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	1	R1284N
167.483	0.002	189522	ENCODING_START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	1	R1284N
167.485	0.251	189524	PRACTICE_ORIENT	n/a	n/a	1	1	IRON	n/a	CHEST	IRON	-1	[0, 0, 0]	-999	PAL1	1	R1284N
167.736	0.681	189775	PRACTICE_ORIENT_OFF	n/a	n/a	1	1	IRON	n/a	CHEST	IRON	-1	[0, 0, 0]	-999	PAL1	1	R1284N
168.417	4.0	190456	PRACTICE_PAIR	n/a	n/a	1	1	IRON	n/a	CHEST	IRON	-1	[0, 0, 0]	-999	PAL1	1	R1284N
172.418	1.003	194457	PRACTICE_PAIR_OFF	n/a	n/a	1	1	IRON	n/a	CHEST	IRON	-1	[0, 0, 0]	-999	PAL1	1	R1284N
173.421	0.251	195460	PRACTICE_ORIENT	n/a	n/a	2	2	WATCH	n/a	RHINO	WATCH	-1	[0, 0, 0]	-999	PAL1	1	R1284N
