name	x	y	z	size	group	hemisphere	type	tal.x	tal.y	tal.z	wb.region	ind.region	das.region	stein.region
AMY1	-15.6162	2.6691	-26.9930417968706	-999	AMY	L	depth	-10.8186	-1.51813	-22.2292	Left Ent entorhinal area	parahippocampal	n/a	n/a
AMY2	-19.54	2.30613	-27.5248739889257	-999	AMY	L	depth	-15.1893	-1.4258	-21.9471	Left Ent entorhinal area	parahippocampal	n/a	Left EC
AMY3	-22.575	0.768809	-27.8127265642582	-999	AMY	L	depth	-18.2571	-2.26015	-21.6332	Left Amygdala	insula	n/a	Left Amy
AMY4	-26.6303	-0.452391	-29.9097857586065	-999	AMY	L	depth	-22.2579	-2.32481	-22.381	Left Amygdala	insula	n/a	Left Amy
AMY5	-29.8166	-1.26112	-30.9975453710405	-999	AMY	L	depth	-25.3175	-2.26025	-22.1835	Left Cerebral White Matter	insula	n/a	n/a
AMY6	-34.364	-1.85092	-31.6389370601523	-999	AMY	L	depth	-29.2511	-2.17713	-21.9296	Left Cerebral White Matter	parahippocampal	n/a	n/a
AMY7	-37.7691	-1.8964	-31.1881257990042	-999	AMY	L	depth	-32.3106	-2.11248	-21.7322	Left Cerebral White Matter	parahippocampal	n/a	n/a
AMY8	-41.7668	-0.373824	-29.1947279376964	-999	AMY	L	depth	-36.6814	-2.02015	-21.4501	Left Cerebral White Matter	insula	n/a	n/a
AMY9	-44.3596	1.07229	-27.5475694836146	-999	AMY	L	depth	-39.7409	-1.95549	-21.2526	Left Cerebral White Matter	superiortemporal	n/a	n/a
AMY10	-47.8454	2.52583	-25.9455237108488	-999	AMY	L	depth	-43.6745	-1.87238	-20.9988	Left Cerebral White Matter	superiortemporal	n/a	n/a
AMY11	-50.7518	3.16877	-25.40359592012	-999	AMY	L	depth	-46.734	-1.80773	-20.8014	Left Cerebral White Matter	superiortemporal	n/a	n/a
AMY12	-54.2114	3.53723	-24.831863729569	-999	AMY	L	depth	-50.6677	-1.72472	-20.5475	Left Cerebral White Matter	middletemporal	n/a	n/a
AMY13	-56.607	3.37714	-24.1458060660998	-999	AMY	L	depth	-53.7273	-1.66005	-20.35	Left Cerebral White Matter	middletemporal	n/a	n/a
AMY14	-60.6473	2.42685	-24.625645084946	-999	AMY	L	depth	-57.661	-1.57695	-20.0961	Left MTG middle temporal gyrus	middletemporal	n/a	Left Middle Temporal Gyrus
HCH1	-22.5706	-7.1831	-26.7023353359188	-999	HCH	L	depth	-19.2014	-9.88328	-20.587	Left Cerebral White Matter	parahippocampal	n/a	Left Sub
HCH2	-25.8569	-7.74787	-26.9296516377055	-999	HCH	L	depth	-22.2608	-9.81863	-20.3896	Left Hippocampus	insula	n/a	Left Sub
HCH3	-32.4121	-11.0283	-28.986793429289	-999	HCH	L	depth	-28.3882	-10.5884	-19.8782	Left Cerebral White Matter	insula	n/a	Left CA1
HCH4	-39.1012	-12.2203	-26.9935125420294	-999	HCH	L	depth	-33.5742	-11.2288	-18.4217	Left PHG parahippocampal gyrus	parahippocampal	BA36	Left PRC
HCH5	-44.5395	-11.8643	-23.1952127312273	-999	HCH	L	depth	-39.6384	-12.3003	-16.8506	Left Cerebral White Matter	parahippocampal	n/a	n/a
HCH6	-48.7328	-11.282	-23.0061765620507	-999	HCH	L	depth	-44.4462	-12.1987	-16.5403	Left Cerebral White Matter	superiortemporal	n/a	n/a
HCH7	-53.6567	-12.6286	-22.9879549140356	-999	HCH	L	depth	-49.6322	-12.8391	-15.0837	Left Cerebral White Matter	middletemporal	n/a	n/a
HCH8	-59.8435	-11.4389	-20.8196740171586	-999	HCH	L	depth	-55.6841	-12.5621	-13.6872	Left MTG middle temporal gyrus	middletemporal	n/a	Left Middle Temporal Gyrus
HCB1	-23.6633	-18.1255	-18.0627259220798	-999	HCB	L	depth	-21.0115	-19.1412	-12.0957	Left Hippocampus	parahippocampal	misc	n/a
HCB2	-26.773	-18.9841	-18.3644716279029	-999	HCB	L	depth	-24.0711	-19.0765	-11.8983	Left Hippocampus	parahippocampal	SUB	Left Sub
HCB3	-29.6649	-20.632	-19.8115240878442	-999	HCB	L	depth	-27.2059	-20.0587	-12.586	Left Cerebral White Matter	parahippocampal	CA1	Left CA1
HCB4	-33.3692	-21.3979	-19.6631199905156	-999	HCB	L	depth	-31.1396	-19.9756	-12.3321	Left Cerebral White Matter	parahippocampal	CA1	Left CA1
HCB5	-35.7126	-22.4013	-20.633841814918	-999	HCB	L	depth	-34.2745	-20.9578	-13.0198	Left PHG parahippocampal gyrus	parahippocampal	BA36	Left MTL WM
HCB6	-39.0258	-21.7311	-19.0950110962927	-999	HCB	L	depth	-37.3341	-20.8931	-12.8224	Left PHG parahippocampal gyrus	parahippocampal	BA36	Left PRC
HCB7	-43.6343	-21.3191	-17.5340376341965	-999	HCB	L	depth	-41.3473	-22.3064	-13.3954	Left Cerebral White Matter	parahippocampal	n/a	n/a
HCB8	-46.7036	-21.3513	-16.9579068067189	-999	HCB	L	depth	-44.4151	-23.1407	-13.0816	Left Cerebral White Matter	fusiform	n/a	n/a
HCB9	-50.173	-20.7739	-18.3809027925413	-999	HCB	L	depth	-48.416	-23.2054	-13.8292	Left Cerebral White Matter	inferiortemporal	n/a	n/a
HCB10	-52.3128	-21.3818	-19.6050313097051	-999	HCB	L	depth	-51.5509	-24.1876	-14.517	Left Cerebral White Matter	inferiortemporal	n/a	n/a
HCB11	-57.039	-22.1311	-18.955147091076	-999	HCB	L	depth	-55.9339	-25.4437	-14.0602	Left MTG middle temporal gyrus	inferiortemporal	n/a	Left Middle Temporal Gyrus
HCB12	-62.7692	-22.4478	-19.7752254531827	-999	HCB	L	depth	-59.0605	-25.5269	-14.8643	Left MTG middle temporal gyrus	inferiortemporal	n/a	Left Middle Temporal Gyrus
HCT1	-21.5201	-29.0426	-11.6026308226502	-999	HCT	L	depth	-20.7706	-28.741	-5.74871	Left Cerebral White Matter	parahippocampal	n/a	Left Sub
HCT2	-23.252	-30.0821	-11.3411489913447	-999	HCT	L	depth	-22.5272	-29.6029	-5.51945	Left Cerebral White Matter	parahippocampal	n/a	Left MTL WM
HCT3	-27.7985	-31.9245	-11.1056608148285	-999	HCT	L	depth	-26.9102	-30.8591	-5.06272	Left Cerebral White Matter	parahippocampal	n/a	Left CA1
HCT4	-30.6117	-33.4083	-11.0138901582878	-999	HCT	L	depth	-29.9781	-31.6936	-4.74881	Left Cerebral White Matter	parahippocampal	n/a	Left CA1
HCT5	-34.2333	-35.0454	-11.3548003530257	-999	HCT	L	depth	-33.92	-32.5094	-4.37849	Left Cerebral White Matter	parahippocampal	n/a	n/a
HCT6	-37.6468	-36.1779	-10.7802094492575	-999	HCT	L	depth	-36.9918	-33.7933	-4.00639	Left Cerebral White Matter	parahippocampal	n/a	n/a
