onset	duration	sample	trial_type	response_time	serialpos	probepos	probe_word	resp_word	study_1	study_2	list	test	answer	experiment	session	subject
0.0	55.892	16841	SESS_START	n/a	-999	-999	n/a	n/a	n/a	n/a	-999	[0, 0, 0]	-999	PAL1	1	R1002P
55.892	1.016	44786	START	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[-999, -999, -999]	-999	PAL1	1	R1002P
56.908	3.984	45294	PROB	3957	-999	-999	n/a	n/a	n/a	n/a	-1	[7, 7, 9]	23	PAL1	1	R1002P
60.892	4.684	47286	PROB	4661	-999	-999	n/a	n/a	n/a	n/a	-1	[3, 3, 6]	12	PAL1	1	R1002P
65.576	4.535	49627	PROB	4505	-999	-999	n/a	n/a	n/a	n/a	-1	[9, 3, 7]	19	PAL1	1	R1002P
70.111	6.698	51895	PROB	6698	-999	-999	n/a	n/a	n/a	n/a	-1	[7, 8, 9]	24	PAL1	1	R1002P
76.809	59.304	55244	STOP	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[-999, -999, -999]	-999	PAL1	1	R1002P
136.113	10.446	84894	ENCODING_START	n/a	0	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	1	R1002P
146.559	0.817	90117	STUDY_ORIENT	n/a	1	3	MOOSE	FOOD	MOOSE	FOOD	1	[0, 0, 0]	-999	PAL1	1	R1002P
147.376	5.018	90525	STUDY_PAIR	n/a	1	3	MOOSE	FOOD	MOOSE	FOOD	1	[0, 0, 0]	-999	PAL1	1	R1002P
152.394	0.817	93034	STUDY_ORIENT	n/a	2	2	SHARK	WAVE	WAVE	SHARK	1	[0, 0, 0]	-999	PAL1	1	R1002P
153.211	5.034	93443	STUDY_PAIR	n/a	2	2	SHARK	WAVE	WAVE	SHARK	1	[0, 0, 0]	-999	PAL1	1	R1002P
158.245	0.984	95959	STUDY_ORIENT	n/a	3	1	FENCE	GRAPE	GRAPE	FENCE	1	[0, 0, 0]	-999	PAL1	1	R1002P
159.229	5.034	96451	STUDY_PAIR	n/a	3	1	FENCE	GRAPE	GRAPE	FENCE	1	[0, 0, 0]	-999	PAL1	1	R1002P
164.263	0.967	98968	STUDY_ORIENT	n/a	4	4	COW	SHEEP	SHEEP	COW	1	[0, 0, 0]	-999	PAL1	1	R1002P
165.23	5.034	99452	STUDY_PAIR	n/a	4	4	COW	SHEEP	SHEEP	COW	1	[0, 0, 0]	-999	PAL1	1	R1002P
170.264	0.9	101969	STUDY_ORIENT	n/a	5	5	JET	n/a	JET	CRANE	1	[0, 0, 0]	-999	PAL1	1	R1002P
171.164	5.018	102419	STUDY_PAIR	n/a	5	5	JET	n/a	JET	CRANE	1	[0, 0, 0]	-999	PAL1	1	R1002P
