onset	duration	sample	trial_type	response_time	stim_file	serialpos	probepos	probe_word	resp_word	study_1	study_2	list	test	answer	experiment	session	subject
0.0	63.566	1389	SESS_START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-999	[0, 0, 0]	-999	PAL1	0	R1090C
63.566	1.017	33170	START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[-999, -999, -999]	-999	PAL1	0	R1090C
64.583	114.497	33678	PROB	114497	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[3, 5, 9]	17	PAL1	0	R1090C
179.08	76.624	90922	STOP	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[-999, -999, -999]	-999	PAL1	0	R1090C
255.704	10.45	129230	ENCODING_START	n/a	n/a	0	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1090C
266.154	0.818	134455	STUDY_ORIENT	n/a	n/a	1	3	VAN	NOSE	NOSE	VAN	1	[0, 0, 0]	-999	PAL1	0	R1090C
266.972	5.034	134864	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	1	3	VAN	NOSE	NOSE	VAN	1	[0, 0, 0]	-999	PAL1	0	R1090C
272.006	0.8	137381	STUDY_ORIENT	n/a	n/a	2	4	FOOT	WOLF	WOLF	FOOT	1	[0, 0, 0]	-999	PAL1	0	R1090C
272.806	5.034	137781	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	2	4	FOOT	WOLF	WOLF	FOOT	1	[0, 0, 0]	-999	PAL1	0	R1090C
277.84	1.0	140297	STUDY_ORIENT	n/a	n/a	3	5	OWL	n/a	THUMB	OWL	1	[0, 0, 0]	-999	PAL1	0	R1090C
278.84	5.018	140797	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	3	5	OWL	n/a	THUMB	OWL	1	[0, 0, 0]	-999	PAL1	0	R1090C
283.858	0.884	143306	STUDY_ORIENT	n/a	n/a	4	2	INK	FAIRY	INK	TOOTH	1	[0, 0, 0]	-999	PAL1	0	R1090C
284.742	5.034	143748	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	4	2	INK	FAIRY	INK	TOOTH	1	[0, 0, 0]	-999	PAL1	0	R1090C
289.776	1.0	146265	STUDY_ORIENT	n/a	n/a	5	1	MOOSE	GRAPE	MOOSE	GRAPE	1	[0, 0, 0]	-999	PAL1	0	R1090C
290.776	5.018	146765	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	5	1	MOOSE	GRAPE	MOOSE	GRAPE	1	[0, 0, 0]	-999	PAL1	0	R1090C
295.794	0.95	149274	STUDY_ORIENT	n/a	n/a	6	6	WORM	PAPER	MAIL	WORM	1	[0, 0, 0]	-999	PAL1	0	R1090C
296.744	4.018	149749	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	6	6	WORM	PAPER	MAIL	WORM	1	[0, 0, 0]	-999	PAL1	0	R1090C
300.762	0.999	151757	START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[-999, -999, -999]	-999	PAL1	0	R1090C
301.761	0.017	152257	MATH_START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1090C
301.778	6.201	152265	PROB	6174	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[5, 9, 9]	23	PAL1	0	R1090C
307.979	5.085	155366	PROB	5053	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[7, 6, 4]	17	PAL1	0	R1090C
313.064	3.95	157908	PROB	3928	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[3, 2, 2]	7	PAL1	0	R1090C
317.014	4.01	159883	PROB	4010	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[1, 2, 3]	6	PAL1	0	R1090C
321.024	0.008	161888	STOP	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[-999, -999, -999]	-999	PAL1	0	R1090C
321.032	0.0	161892	MATH_END	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1090C
321.032	0.017	161892	TEST_START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1090C
321.049	0.916	161900	TEST_ORIENT	n/a	n/a	5	1	MOOSE	GRAPE	MOOSE	GRAPE	1	[0, 0, 0]	-999	PAL1	0	R1090C
321.965	0.001	162358	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	5	1	MOOSE	GRAPE	MOOSE	GRAPE	1	[0, 0, 0]	-999	PAL1	0	R1090C
321.966	1.372	162359	REC_START	n/a	n/a	5	-999	n/a	GRAPE	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1090C
323.338	3.636	163044	REC_EVENT	1372	n/a	5	1	MOOSE	GRAPE	MOOSE	GRAPE	1	[0, 0, 0]	-999	PAL1	0	R1090C
326.974	0.009	164862	REC_END	n/a	n/a	5	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1090C
326.983	0.984	164867	TEST_ORIENT	n/a	n/a	4	2	INK	FAIRY	INK	TOOTH	1	[0, 0, 0]	-999	PAL1	0	R1090C
327.967	0.0	165359	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	4	2	INK	FAIRY	INK	TOOTH	1	[0, 0, 0]	-999	PAL1	0	R1090C
327.967	0.21	165359	REC_START	n/a	n/a	4	-999	n/a	FAIRY	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1090C
328.177	0.556	165464	REC_EVENT	210	n/a	4	2	INK	GRAPE	INK	TOOTH	1	[0, 0, 0]	-999	PAL1	0	R1090C
328.733	0.829	165742	REC_EVENT	766	n/a	4	2	INK	INK	INK	TOOTH	1	[0, 0, 0]	-999	PAL1	0	R1090C
329.562	0.678	166156	REC_EVENT	1595	n/a	4	2	INK	<>	INK	TOOTH	1	[0, 0, 0]	-999	PAL1	0	R1090C
330.24	0.739	166495	REC_EVENT	2273	n/a	4	2	INK	FAIRY	INK	TOOTH	1	[0, 0, 0]	-999	PAL1	0	R1090C
330.979	0.332	166865	REC_EVENT	3012	n/a	4	2	INK	TOOTH	INK	TOOTH	1	[0, 0, 0]	-999	PAL1	0	R1090C
331.311	1.673	167031	REC_EVENT	3344	n/a	4	2	INK	FAIRY	INK	TOOTH	1	[0, 0, 0]	-999	PAL1	0	R1090C
332.984	0.017	167867	REC_END	n/a	n/a	4	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1090C
333.001	0.917	167876	TEST_ORIENT	n/a	n/a	1	3	VAN	NOSE	NOSE	VAN	1	[0, 0, 0]	-999	PAL1	0	R1090C
333.918	0.0	168334	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	1	3	VAN	NOSE	NOSE	VAN	1	[0, 0, 0]	-999	PAL1	0	R1090C
333.918	1.81	168334	REC_START	n/a	n/a	1	-999	n/a	NOSE	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1090C
335.728	3.207	169239	REC_EVENT	1810	n/a	1	3	VAN	NOSE	NOSE	VAN	1	[0, 0, 0]	-999	PAL1	0	R1090C
338.935	0.017	170842	REC_END	n/a	n/a	1	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1090C
338.952	1.0	170851	TEST_ORIENT	n/a	n/a	2	4	FOOT	WOLF	WOLF	FOOT	1	[0, 0, 0]	-999	PAL1	0	R1090C
339.952	0.001	171351	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	2	4	FOOT	WOLF	WOLF	FOOT	1	[0, 0, 0]	-999	PAL1	0	R1090C
339.953	2.716	171351	REC_START	n/a	n/a	2	-999	n/a	WOLF	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1090C
342.669	2.293	172709	REC_EVENT	2716	n/a	2	4	FOOT	WOLF	WOLF	FOOT	1	[0, 0, 0]	-999	PAL1	0	R1090C
344.962	0.008	173856	REC_END	n/a	n/a	2	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1090C
344.97	0.817	173860	TEST_ORIENT	n/a	n/a	3	5	OWL	n/a	THUMB	OWL	1	[0, 0, 0]	-999	PAL1	0	R1090C
345.787	0.0	174268	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	3	5	OWL	n/a	THUMB	OWL	1	[0, 0, 0]	-999	PAL1	0	R1090C
345.787	5.015	174268	REC_START	n/a	n/a	3	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1090C
350.802	0.002	176775	REC_EVENT	5015	n/a	3	5	OWL	<>	THUMB	OWL	1	[0, 0, 0]	-999	PAL1	0	R1090C
350.804	0.017	176776	REC_END	n/a	n/a	3	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1090C
350.821	0.85	176785	TEST_ORIENT	n/a	n/a	6	6	WORM	PAPER	MAIL	WORM	1	[0, 0, 0]	-999	PAL1	0	R1090C
351.671	0.001	177210	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	6	6	WORM	PAPER	MAIL	WORM	1	[0, 0, 0]	-999	PAL1	0	R1090C
351.672	0.845	177210	REC_START	n/a	n/a	6	-999	n/a	PAPER	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1090C
352.517	0.961	177633	REC_EVENT	845	n/a	6	6	WORM	<>	MAIL	WORM	1	[0, 0, 0]	-999	PAL1	0	R1090C
353.478	1.793	178113	REC_EVENT	1806	n/a	6	6	WORM	BOOK	MAIL	WORM	1	[0, 0, 0]	-999	PAL1	0	R1090C
355.271	1.41	179010	REC_EVENT	3599	n/a	6	6	WORM	PAPER	MAIL	WORM	1	[0, 0, 0]	-999	PAL1	0	R1090C
356.681	2.622	179715	REC_END	n/a	n/a	6	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1090C
359.303	10.455	181025	ENCODING_START	n/a	n/a	0	-999	n/a	n/a	n/a	n/a	2	[0, 0, 0]	-999	PAL1	0	R1090C
369.758	0.967	186252	STUDY_ORIENT	n/a	n/a	1	5	FLOOR	ROCK	FLOOR	ROCK	2	[0, 0, 0]	-999	PAL1	0	R1090C
370.725	5.034	186736	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	1	5	FLOOR	ROCK	FLOOR	ROCK	2	[0, 0, 0]	-999	PAL1	0	R1090C
375.759	1.0	189253	STUDY_ORIENT	n/a	n/a	2	4	SAIL	OAR	SAIL	OAR	2	[0, 0, 0]	-999	PAL1	0	R1090C
376.759	5.018	189753	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	2	4	SAIL	OAR	SAIL	OAR	2	[0, 0, 0]	-999	PAL1	0	R1090C
381.777	1.0	192261	STUDY_ORIENT	n/a	n/a	3	1	STREET	PEACH	PEACH	STREET	2	[0, 0, 0]	-999	PAL1	0	R1090C
382.777	5.018	192761	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	3	1	STREET	PEACH	PEACH	STREET	2	[0, 0, 0]	-999	PAL1	0	R1090C
387.795	0.817	195270	STUDY_ORIENT	n/a	n/a	4	6	CUP	MOTH	CUP	MOTH	2	[0, 0, 0]	-999	PAL1	0	R1090C
388.612	5.034	195679	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	4	6	CUP	MOTH	CUP	MOTH	2	[0, 0, 0]	-999	PAL1	0	R1090C
393.646	0.933	198195	STUDY_ORIENT	n/a	n/a	5	3	GEESE	HEART	GEESE	HEART	2	[0, 0, 0]	-999	PAL1	0	R1090C
394.579	5.018	198662	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	5	3	GEESE	HEART	GEESE	HEART	2	[0, 0, 0]	-999	PAL1	0	R1090C
399.597	0.933	201171	STUDY_ORIENT	n/a	n/a	6	2	PIN	n/a	SKY	PIN	2	[0, 0, 0]	-999	PAL1	0	R1090C
400.53	4.018	201637	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	6	2	PIN	n/a	SKY	PIN	2	[0, 0, 0]	-999	PAL1	0	R1090C
404.548	1.0	203646	START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	2	[-999, -999, -999]	-999	PAL1	0	R1090C
405.548	0.017	204146	MATH_START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	2	[0, 0, 0]	-999	PAL1	0	R1090C
405.565	5.418	204154	PROB	5395	n/a	-999	-999	n/a	n/a	n/a	n/a	2	[5, 7, 1]	13	PAL1	0	R1090C
410.983	4.767	206863	PROB	4737	n/a	-999	-999	n/a	n/a	n/a	n/a	2	[6, 8, 8]	24	PAL1	0	R1090C
415.75	2.65	209247	PROB	2625	n/a	-999	-999	n/a	n/a	n/a	n/a	2	[1, 8, 2]	11	PAL1	0	R1090C
418.4	5.385	210571	PROB	5360	n/a	-999	-999	n/a	n/a	n/a	n/a	2	[1, 4, 8]	13	PAL1	0	R1090C
423.785	2.975	213264	PROB	2975	n/a	-999	-999	n/a	n/a	n/a	n/a	2	[5, 3, 7]	15	PAL1	0	R1090C
426.76	0.009	214751	STOP	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	2	[-999, -999, -999]	-999	PAL1	0	R1090C
426.769	0.0	214756	MATH_END	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	2	[0, 0, 0]	-999	PAL1	0	R1090C
426.769	0.017	214756	TEST_START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	2	[0, 0, 0]	-999	PAL1	0	R1090C
426.786	0.833	214764	TEST_ORIENT	n/a	n/a	3	1	STREET	PEACH	PEACH	STREET	2	[0, 0, 0]	-999	PAL1	0	R1090C
427.619	0.001	215181	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	3	1	STREET	PEACH	PEACH	STREET	2	[0, 0, 0]	-999	PAL1	0	R1090C
427.62	0.805	215181	REC_START	n/a	n/a	3	-999	n/a	PEACH	n/a	n/a	2	[0, 0, 0]	-999	PAL1	0	R1090C
428.425	4.211	215583	REC_EVENT	805	n/a	3	1	STREET	PEACH	PEACH	STREET	2	[0, 0, 0]	-999	PAL1	0	R1090C
432.636	0.017	217689	REC_END	n/a	n/a	3	-999	n/a	n/a	n/a	n/a	2	[0, 0, 0]	-999	PAL1	0	R1090C
432.653	1.017	217697	TEST_ORIENT	n/a	n/a	6	2	PIN	n/a	SKY	PIN	2	[0, 0, 0]	-999	PAL1	0	R1090C
433.67	0.0	218206	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	6	2	PIN	n/a	SKY	PIN	2	[0, 0, 0]	-999	PAL1	0	R1090C
433.67	5.018	218206	REC_START	n/a	n/a	6	-999	n/a	n/a	n/a	n/a	2	[0, 0, 0]	-999	PAL1	0	R1090C
438.688	0.003	220715	REC_END	n/a	n/a	6	-999	n/a	n/a	n/a	n/a	2	[0, 0, 0]	-999	PAL1	0	R1090C
438.691	0.014	220716	REC_EVENT	5021	n/a	6	2	PIN	<>	SKY	PIN	2	[0, 0, 0]	-999	PAL1	0	R1090C
438.705	0.833	220723	TEST_ORIENT	n/a	n/a	5	3	GEESE	HEART	GEESE	HEART	2	[0, 0, 0]	-999	PAL1	0	R1090C
439.538	0.0	221139	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	5	3	GEESE	HEART	GEESE	HEART	2	[0, 0, 0]	-999	PAL1	0	R1090C
439.538	1.359	221139	REC_START	n/a	n/a	5	-999	n/a	HEART	n/a	n/a	2	[0, 0, 0]	-999	PAL1	0	R1090C
440.897	0.203	221819	REC_EVENT	1359	n/a	5	3	GEESE	<>	GEESE	HEART	2	[0, 0, 0]	-999	PAL1	0	R1090C
441.1	3.456	221920	REC_EVENT	1562	n/a	5	3	GEESE	HEART	GEESE	HEART	2	[0, 0, 0]	-999	PAL1	0	R1090C
444.556	0.016	223648	REC_END	n/a	n/a	5	-999	n/a	n/a	n/a	n/a	2	[0, 0, 0]	-999	PAL1	0	R1090C
444.572	0.884	223656	TEST_ORIENT	n/a	n/a	2	4	SAIL	OAR	SAIL	OAR	2	[0, 0, 0]	-999	PAL1	0	R1090C
445.456	0.0	224098	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	2	4	SAIL	OAR	SAIL	OAR	2	[0, 0, 0]	-999	PAL1	0	R1090C
445.456	0.819	224098	REC_START	n/a	n/a	2	-999	n/a	OAR	n/a	n/a	2	[0, 0, 0]	-999	PAL1	0	R1090C
446.275	4.198	224508	REC_EVENT	819	n/a	2	4	SAIL	OAR	SAIL	OAR	2	[0, 0, 0]	-999	PAL1	0	R1090C
450.473	0.017	226607	REC_END	n/a	n/a	2	-999	n/a	n/a	n/a	n/a	2	[0, 0, 0]	-999	PAL1	0	R1090C
450.49	0.866	226615	TEST_ORIENT	n/a	n/a	1	5	FLOOR	ROCK	FLOOR	ROCK	2	[0, 0, 0]	-999	PAL1	0	R1090C
