onset	duration	sample	trial_type	response_time	stim_file	serialpos	probepos	probe_word	resp_word	study_1	study_2	list	test	answer	experiment	session	subject
0.0	80.847	141582	SESS_START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-999	[0, 0, 0]	-999	PAL1	0	R1130M
80.847	1.016	182003	START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[-999, -999, -999]	-999	PAL1	0	R1130M
81.863	11.803	182511	PROB	11.775	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[2, 5, 7]	14	PAL1	0	R1130M
93.666	9.596	188412	PROB	9.596	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[2, 2, 4]	8	PAL1	0	R1130M
103.262	60.407	193210	STOP	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[-999, -999, -999]	-999	PAL1	0	R1130M
163.669	10.446	223412	ENCODING_START	n/a	n/a	0	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1130M
174.115	0.275	228634	STUDY_ORIENT	n/a	n/a	1	1	BEAK	n/a	MOOSE	BEAK	1	[0, 0, 0]	-999	PAL1	0	R1130M
175.099	4.0	229126	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	1	1	BEAK	n/a	MOOSE	BEAK	1	[0, 0, 0]	-999	PAL1	0	R1130M
180.133	0.275	231643	STUDY_ORIENT	n/a	n/a	2	6	STOVE	n/a	ROAD	STOVE	1	[0, 0, 0]	-999	PAL1	0	R1130M
181.15	4.0	232152	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	2	6	STOVE	n/a	ROAD	STOVE	1	[0, 0, 0]	-999	PAL1	0	R1130M
186.184	0.275	234668	STUDY_ORIENT	n/a	n/a	3	5	RAT	n/a	RAT	STOOL	1	[0, 0, 0]	-999	PAL1	0	R1130M
186.951	4.0	235052	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	3	5	RAT	n/a	RAT	STOOL	1	[0, 0, 0]	-999	PAL1	0	R1130M
191.985	0.275	237569	STUDY_ORIENT	n/a	n/a	4	2	PEAR	n/a	PEAR	ROPE	1	[0, 0, 0]	-999	PAL1	0	R1130M
192.902	4.0	238027	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	4	2	PEAR	n/a	PEAR	ROPE	1	[0, 0, 0]	-999	PAL1	0	R1130M
197.936	0.275	240544	STUDY_ORIENT	n/a	n/a	5	3	CHEEK	MOUSE	SKUNK	CHEEK	1	[0, 0, 0]	-999	PAL1	0	R1130M
198.887	4.0	241020	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	5	3	CHEEK	MOUSE	SKUNK	CHEEK	1	[0, 0, 0]	-999	PAL1	0	R1130M
203.921	0.275	243536	STUDY_ORIENT	n/a	n/a	6	4	MAZE	n/a	PARK	MAZE	1	[0, 0, 0]	-999	PAL1	0	R1130M
204.904	4.0	244028	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	6	4	MAZE	n/a	PARK	MAZE	1	[0, 0, 0]	-999	PAL1	0	R1130M
208.905	1.0	246028	START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[-999, -999, -999]	-999	PAL1	0	R1130M
209.905	0.017	246528	MATH_START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1130M
209.922	10.37	246537	PROB	10.348	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[7, 5, 4]	16	PAL1	0	R1130M
220.292	9.521	251721	PROB	9.521	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[4, 8, 5]	17	PAL1	0	R1130M
229.813	0.013	256482	STOP	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[-999, -999, -999]	-999	PAL1	0	R1130M
229.826	0.0	256488	MATH_END	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1130M
229.826	0.017	256488	TEST_START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1130M
229.843	0.275	256497	TEST_ORIENT	n/a	n/a	1	1	BEAK	n/a	MOOSE	BEAK	1	[0, 0, 0]	-999	PAL1	0	R1130M
230.743	4.0	256947	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	1	1	BEAK	n/a	MOOSE	BEAK	1	[0, 0, 0]	-999	PAL1	0	R1130M
230.744	5.025	256947	REC_START	n/a	n/a	1	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1130M
235.769	0.002	259460	REC_END	n/a	n/a	1	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1130M
235.771	0.006	259461	REC_EVENT	5.027	n/a	1	1	BEAK	<>	MOOSE	BEAK	1	[0, 0, 0]	-999	PAL1	0	R1130M
235.777	0.275	259464	TEST_ORIENT	n/a	n/a	4	2	PEAR	n/a	PEAR	ROPE	1	[0, 0, 0]	-999	PAL1	0	R1130M
236.71	4.0	259930	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	4	2	PEAR	n/a	PEAR	ROPE	1	[0, 0, 0]	-999	PAL1	0	R1130M
236.711	0.0	259930	REC_START	n/a	n/a	4	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1130M
236.711	5.009	259930	REC_EVENT	0.0	n/a	4	2	PEAR	<>	PEAR	ROPE	1	[0, 0, 0]	-999	PAL1	0	R1130M
241.72	0.008	262435	REC_END	n/a	n/a	4	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1130M
241.728	0.275	262439	TEST_ORIENT	n/a	n/a	5	3	CHEEK	MOUSE	SKUNK	CHEEK	1	[0, 0, 0]	-999	PAL1	0	R1130M
242.762	4.0	262956	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	5	3	CHEEK	MOUSE	SKUNK	CHEEK	1	[0, 0, 0]	-999	PAL1	0	R1130M
242.762	2.729	262956	REC_START	n/a	n/a	5	-999	n/a	MOUSE	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1130M
245.491	2.288	264320	REC_EVENT	2.729	n/a	5	3	CHEEK	MOUSE	SKUNK	CHEEK	1	[0, 0, 0]	-999	PAL1	0	R1130M
247.779	0.017	265464	REC_END	n/a	n/a	5	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1130M
247.796	0.275	265473	TEST_ORIENT	n/a	n/a	6	4	MAZE	n/a	PARK	MAZE	1	[0, 0, 0]	-999	PAL1	0	R1130M
248.647	4.0	265898	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	6	4	MAZE	n/a	PARK	MAZE	1	[0, 0, 0]	-999	PAL1	0	R1130M
248.648	0.0	265899	REC_START	n/a	n/a	6	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1130M
248.648	5.009	265899	REC_EVENT	0.0	n/a	6	4	MAZE	<>	PARK	MAZE	1	[0, 0, 0]	-999	PAL1	0	R1130M
253.657	0.008	268403	REC_END	n/a	n/a	6	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1130M
253.665	0.275	268407	TEST_ORIENT	n/a	n/a	3	5	RAT	n/a	RAT	STOOL	1	[0, 0, 0]	-999	PAL1	0	R1130M
254.615	4.0	268882	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	3	5	RAT	n/a	RAT	STOOL	1	[0, 0, 0]	-999	PAL1	0	R1130M
254.616	0.0	268883	REC_START	n/a	n/a	3	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1130M
254.616	5.008	268883	REC_EVENT	0.0	n/a	3	5	RAT	<>	RAT	STOOL	1	[0, 0, 0]	-999	PAL1	0	R1130M
259.624	0.009	271386	REC_END	n/a	n/a	3	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1130M
259.633	0.275	271391	TEST_ORIENT	n/a	n/a	2	6	STOVE	n/a	ROAD	STOVE	1	[0, 0, 0]	-999	PAL1	0	R1130M
260.483	4.0	271816	TEST_PROBE	n/a	wordpools/wordpool_EN.txt	2	6	STOVE	n/a	ROAD	STOVE	1	[0, 0, 0]	-999	PAL1	0	R1130M
260.484	0.0	271816	REC_EVENT	0.0	n/a	2	6	STOVE	<>	ROAD	STOVE	1	[0, 0, 0]	-999	PAL1	0	R1130M
260.484	5.008	271816	REC_START	n/a	n/a	2	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1130M
265.492	14.529	274320	REC_END	n/a	n/a	2	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1130M
280.021	10.451	281584	ENCODING_START	n/a	n/a	0	-999	n/a	n/a	n/a	n/a	2	[0, 0, 0]	-999	PAL1	0	R1130M
290.472	0.275	286810	STUDY_ORIENT	n/a	n/a	1	5	THUMB	n/a	KITE	THUMB	2	[0, 0, 0]	-999	PAL1	0	R1130M
291.506	4.0	287326	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	1	5	THUMB	n/a	KITE	THUMB	2	[0, 0, 0]	-999	PAL1	0	R1130M
296.54	0.275	289843	STUDY_ORIENT	n/a	n/a	2	2	VEST	n/a	CLIFF	VEST	2	[0, 0, 0]	-999	PAL1	0	R1130M
297.374	4.0	290260	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	2	2	VEST	n/a	CLIFF	VEST	2	[0, 0, 0]	-999	PAL1	0	R1130M
302.408	0.275	292777	STUDY_ORIENT	n/a	n/a	3	1	BUSH	n/a	STONE	BUSH	2	[0, 0, 0]	-999	PAL1	0	R1130M
303.258	4.0	293202	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	3	1	BUSH	n/a	STONE	BUSH	2	[0, 0, 0]	-999	PAL1	0	R1130M
308.276	0.275	295711	STUDY_ORIENT	n/a	n/a	4	4	RAKE	n/a	CORD	RAKE	2	[0, 0, 0]	-999	PAL1	0	R1130M
309.175	4.0	296160	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	4	4	RAKE	n/a	CORD	RAKE	2	[0, 0, 0]	-999	PAL1	0	R1130M
314.193	0.275	298669	STUDY_ORIENT	n/a	n/a	5	3	JAIL	n/a	JAIL	VASE	2	[0, 0, 0]	-999	PAL1	0	R1130M
314.976	4.0	299061	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	5	3	JAIL	n/a	JAIL	VASE	2	[0, 0, 0]	-999	PAL1	0	R1130M
319.994	0.275	301570	STUDY_ORIENT	n/a	n/a	6	6	BOOK	n/a	PANTS	BOOK	2	[0, 0, 0]	-999	PAL1	0	R1130M
320.844	4.0	301995	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	6	6	BOOK	n/a	PANTS	BOOK	2	[0, 0, 0]	-999	PAL1	0	R1130M
324.862	1.0	304004	START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	2	[-999, -999, -999]	-999	PAL1	0	R1130M
325.862	0.016	304504	MATH_START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	2	[0, 0, 0]	-999	PAL1	0	R1130M
325.878	6.202	304512	PROB	6.175	n/a	-999	-999	n/a	n/a	n/a	n/a	2	[7, 5, 5]	17	PAL1	0	R1130M
332.08	7.935	307612	PROB	7.901	n/a	-999	-999	n/a	n/a	n/a	n/a	2	[3, 9, 5]	17	PAL1	0	R1130M
340.015	7.311	311580	PROB	7.311	n/a	-999	-999	n/a	n/a	n/a	n/a	2	[3, 6, 6]	15	PAL1	0	R1130M
