name	x	y	z	size	group	hemisphere	type	tal.x	tal.y	tal.z
LTD1	-29.2066	9.50827	-30.752662648779	-999	LTD	L	depth	-25.6207	7.03369	-23.7041
LTD2	-32.001	0.870652	-26.0075319071739	-999	LTD	L	depth	-28.9346	-1.26125	-19.8216
LTD3	-34.9569	-6.92227	-20.6256375978292	-999	LTD	L	depth	-32.2813	-9.43815	-15.2487
LTD4	-36.5903	-16.5615	-16.7581739216257	-999	LTD	L	depth	-34.6193	-18.1015	-10.5453
LTD5	-38.3868	-24.8394	-12.3449026458086	-999	LTD	L	depth	-36.9499	-26.2779	-5.91405
LTD6	-39.842	-33.8342	-4.6396648893408	-999	LTD	L	depth	-39.303	-35.9152	-1.06669
LTD7	-41.1849	-41.1032	-0.933846653110959	-999	LTD	L	depth	-40.5371	-43.3532	2.09838
LTD8	-45.0497	-49.8958	2.35666447627531	-999	LTD	L	depth	-42.8249	-53.213	5.84065
RTD1	26.0265	17.9709	-40.7216289952836	-999	RTD	R	depth	27.5152	16.9922	-35.6123
RTD2	21.9255	9.4886	-41.4529123438951	-999	RTD	R	depth	24.3468	9.19871	-34.6352
RTD3	25.9289	-0.725333	-38.2410633269513	-999	RTD	R	depth	25.042	-0.436906	-29.6125
RTD4	26.7737	-9.14223	-33.579510844256	-999	RTD	R	depth	26.7757	-8.61111	-24.7475
RTD5	28.1277	-19.0684	-29.8877587485378	-999	RTD	R	depth	28.502	-17.2723	-19.8105
RTD6	33.2489	-28.1563	-24.9464064616952	-999	RTD	R	depth	31.2844	-25.564	-15.5774
RTD7	33.7691	-34.9098	-17.2728865203428	-999	RTD	R	depth	34.0595	-34.3428	-11.2723
RTD8	35.0572	-43.3583	-12.7518057654124	-999	RTD	R	depth	35.8083	-41.543	-6.55142
