onset	duration	sample	trial_type	response_time	serialpos	probepos	probe_word	resp_word	study_1	study_2	list	test	answer	experiment	session	subject
0.0	317.125	430	INSTRUCT_START	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	5	R1318N
317.125	2.184	317545	INSTRUCT_END	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	5	R1318N
319.309	8.646	319729	MIC TEST_START	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	5	R1318N
327.955	0.011	328375	MIC TEST_END	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	5	R1318N
327.966	0.0	328386	TRIAL_START	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	5	R1318N
327.966	0.001	328386	TRIAL	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	5	R1318N
327.967	1.244	328387	WAITING_START	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	5	R1318N
329.211	0.001	329631	WAITING_END	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	5	R1318N
329.212	10.428	329632	COUNTDOWN_START	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	5	R1318N
339.64	0.001	340060	COUNTDOWN_END	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	5	R1318N
339.641	0.622	340061	ORIENT_START	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	5	R1318N
340.263	0.0	340683	ORIENT_END	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	5	R1318N
340.263	1.033	340683	ENCODING_START	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	5	R1318N
341.296	4.032	341716	STUDY_PAIR	n/a	1	-999	n/a	n/a	WATCH	BABY	-1	[0, 0, 0]	-999	PAL1	5	R1318N
345.328	0.587	345748	STUDY_PAIR_OFF	n/a	1	-999	n/a	n/a	WATCH	BABY	-1	[0, 0, 0]	-999	PAL1	5	R1318N
345.915	4.032	346335	STUDY_PAIR	n/a	2	-999	n/a	FLOOD	WAGON	CAMEL	-1	[0, 0, 0]	-999	PAL1	5	R1318N
349.947	0.718	350366	STUDY_PAIR_OFF	n/a	2	-999	n/a	FLOOD	WAGON	CAMEL	-1	[0, 0, 0]	-999	PAL1	5	R1318N
