onset	duration	sample	trial_type	response_time	serialpos	probepos	probe_word	resp_word	study_1	study_2	list	test	answer	experiment	session	subject
0.0	0.0	5627	INSTRUCT_VIDEO_ON	n/a	-999	-999	n/a	n/a	n/a	n/a	-999	[0, 0, 0]	-999	PAL1	0	R1228M
0.0	5.55	5627	INSTRUCT_VIDEO_OFF	n/a	-999	-999	n/a	n/a	n/a	n/a	-999	[0, 0, 0]	-999	PAL1	0	R1228M
5.55	0.0	11177	SESS_START	n/a	-999	-999	n/a	n/a	n/a	n/a	-999	[0, 0, 0]	-999	PAL1	0	R1228M
5.55	105.18	11177	MIC_TEST	n/a	-999	-999	n/a	n/a	n/a	n/a	-999	[0, 0, 0]	-999	PAL1	0	R1228M
110.73	13.504	116351	PRACTICE_TRIAL	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	0	R1228M
124.234	0.006	129854	ENCODING_START	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	0	R1228M
124.24	0.267	129860	PRACTICE_ORIENT	n/a	1	5	IRON	n/a	IRON	RHINO	-1	[0, 0, 0]	-999	PAL1	0	R1228M
124.507	0.65	130127	PRACTICE_ORIENT_OFF	n/a	1	5	IRON	n/a	IRON	RHINO	-1	[0, 0, 0]	-999	PAL1	0	R1228M
125.157	4.001	130777	PRACTICE_PAIR	n/a	1	5	IRON	n/a	IRON	RHINO	-1	[0, 0, 0]	-999	PAL1	0	R1228M
129.158	1.017	134778	PRACTICE_PAIR_OFF	n/a	1	5	IRON	n/a	IRON	RHINO	-1	[0, 0, 0]	-999	PAL1	0	R1228M
130.175	0.266	135795	PRACTICE_ORIENT	n/a	2	2	CHEST	n/a	CHEST	FLOOD	-1	[0, 0, 0]	-999	PAL1	0	R1228M
130.441	0.751	136061	PRACTICE_ORIENT_OFF	n/a	2	2	CHEST	n/a	CHEST	FLOOD	-1	[0, 0, 0]	-999	PAL1	0	R1228M
131.192	4.017	136812	PRACTICE_PAIR	n/a	2	2	CHEST	n/a	CHEST	FLOOD	-1	[0, 0, 0]	-999	PAL1	0	R1228M
135.209	1.017	140829	PRACTICE_PAIR_OFF	n/a	2	2	CHEST	n/a	CHEST	FLOOD	-1	[0, 0, 0]	-999	PAL1	0	R1228M
136.226	0.267	141845	PRACTICE_ORIENT	n/a	3	1	ATTIC	n/a	WATCH	ATTIC	-1	[0, 0, 0]	-999	PAL1	0	R1228M
136.493	0.6	142112	PRACTICE_ORIENT_OFF	n/a	3	1	ATTIC	n/a	WATCH	ATTIC	-1	[0, 0, 0]	-999	PAL1	0	R1228M
137.093	4.017	142712	PRACTICE_PAIR	n/a	3	1	ATTIC	n/a	WATCH	ATTIC	-1	[0, 0, 0]	-999	PAL1	0	R1228M
141.11	1.017	146729	PRACTICE_PAIR_OFF	n/a	3	1	ATTIC	n/a	WATCH	ATTIC	-1	[0, 0, 0]	-999	PAL1	0	R1228M
142.127	0.266	147746	PRACTICE_ORIENT	n/a	4	4	TONGUE	n/a	COTTON	TONGUE	-1	[0, 0, 0]	-999	PAL1	0	R1228M
142.393	0.685	148012	PRACTICE_ORIENT_OFF	n/a	4	4	TONGUE	n/a	COTTON	TONGUE	-1	[0, 0, 0]	-999	PAL1	0	R1228M
143.078	4.017	148697	PRACTICE_PAIR	n/a	4	4	TONGUE	n/a	COTTON	TONGUE	-1	[0, 0, 0]	-999	PAL1	0	R1228M
147.095	1.017	152714	PRACTICE_PAIR_OFF	n/a	4	4	TONGUE	n/a	COTTON	TONGUE	-1	[0, 0, 0]	-999	PAL1	0	R1228M
148.112	0.266	153731	PRACTICE_ORIENT	n/a	5	3	CAMEL	n/a	RING	CAMEL	-1	[0, 0, 0]	-999	PAL1	0	R1228M
148.378	0.617	153997	PRACTICE_ORIENT_OFF	n/a	5	3	CAMEL	n/a	RING	CAMEL	-1	[0, 0, 0]	-999	PAL1	0	R1228M
148.995	4.001	154614	PRACTICE_PAIR	n/a	5	3	CAMEL	n/a	RING	CAMEL	-1	[0, 0, 0]	-999	PAL1	0	R1228M
152.996	1.017	158615	PRACTICE_PAIR_OFF	n/a	5	3	CAMEL	n/a	RING	CAMEL	-1	[0, 0, 0]	-999	PAL1	0	R1228M
154.013	0.267	159631	PRACTICE_ORIENT	n/a	6	6	WAGON	n/a	WAGON	BEAM	-1	[0, 0, 0]	-999	PAL1	0	R1228M
154.28	0.516	159898	PRACTICE_ORIENT_OFF	n/a	6	6	WAGON	n/a	WAGON	BEAM	-1	[0, 0, 0]	-999	PAL1	0	R1228M
154.796	4.018	160414	PRACTICE_PAIR	n/a	6	6	WAGON	n/a	WAGON	BEAM	-1	[0, 0, 0]	-999	PAL1	0	R1228M
158.814	1.001	164432	PRACTICE_PAIR_OFF	n/a	6	6	WAGON	n/a	WAGON	BEAM	-1	[0, 0, 0]	-999	PAL1	0	R1228M
159.815	0.0	165433	ENCODING_END	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	0	R1228M
159.815	0.001	165433	MATH_START	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	0	R1228M
159.816	0.015	165434	START	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[-999, -999, -999]	-999	PAL1	0	R1228M
159.831	5.351	165449	PROB	5319	-999	-999	n/a	n/a	n/a	n/a	-1	[8, 4, 4]	16	PAL1	0	R1228M
165.182	3.801	170800	PROB	3768	-999	-999	n/a	n/a	n/a	n/a	-1	[6, 6, 4]	16	PAL1	0	R1228M
168.983	5.167	174601	PROB	5135	-999	-999	n/a	n/a	n/a	n/a	-1	[7, 8, 9]	24	PAL1	0	R1228M
174.15	2.751	179767	PROB	2729	-999	-999	n/a	n/a	n/a	n/a	-1	[8, 2, 5]	15	PAL1	0	R1228M
176.901	2.449	182518	PROB	2424	-999	-999	n/a	n/a	n/a	n/a	-1	[8, 6, 4]	18	PAL1	0	R1228M
179.35	2.632	184967	PROB	2632	-999	-999	n/a	n/a	n/a	n/a	-1	[8, 3, 7]	18	PAL1	0	R1228M
181.982	0.02	187599	STOP	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[-999, -999, -999]	-999	PAL1	0	R1228M
182.002	0.0	187619	MATH_END	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	0	R1228M
182.002	0.016	187619	RECALL_START	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	0	R1228M
182.018	0.267	187635	PRACTICE_RETRIEVAL_ORIENT	n/a	3	1	ATTIC	n/a	WATCH	ATTIC	-1	[0, 0, 0]	-999	PAL1	0	R1228M
182.285	0.65	187902	PRACTICE_RETRIEVAL_ORIENT_OFF	n/a	3	1	ATTIC	n/a	WATCH	ATTIC	-1	[0, 0, 0]	-999	PAL1	0	R1228M
182.935	0.005	188552	PRACTICE_PROBE	n/a	3	1	ATTIC	n/a	WATCH	ATTIC	-1	[0, 0, 0]	-999	PAL1	0	R1228M
182.94	1.346	188557	REC_START	n/a	3	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	0	R1228M
184.286	2.667	189903	REC_EVENT	1346	3	1	ATTIC	<>	WATCH	ATTIC	-1	[0, 0, 0]	-999	PAL1	0	R1228M
186.953	1.011	192570	PROBE_OFF	n/a	3	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	0	R1228M
187.964	0.022	193581	REC_END	n/a	3	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	0	R1228M
187.986	0.267	193603	PRACTICE_RETRIEVAL_ORIENT	n/a	2	2	CHEST	n/a	CHEST	FLOOD	-1	[0, 0, 0]	-999	PAL1	0	R1228M
188.253	0.533	193870	PRACTICE_RETRIEVAL_ORIENT_OFF	n/a	2	2	CHEST	n/a	CHEST	FLOOD	-1	[0, 0, 0]	-999	PAL1	0	R1228M
188.786	0.001	194403	PRACTICE_PROBE	n/a	2	2	CHEST	n/a	CHEST	FLOOD	-1	[0, 0, 0]	-999	PAL1	0	R1228M
188.787	1.16	194404	REC_START	n/a	2	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	0	R1228M
189.947	2.857	195563	REC_EVENT	1160	2	2	CHEST	<>	CHEST	FLOOD	-1	[0, 0, 0]	-999	PAL1	0	R1228M
192.804	1.01	198420	PROBE_OFF	n/a	2	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	0	R1228M
193.814	0.006	199430	REC_END	n/a	2	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	0	R1228M
193.82	0.267	199436	PRACTICE_RETRIEVAL_ORIENT	n/a	5	3	CAMEL	n/a	RING	CAMEL	-1	[0, 0, 0]	-999	PAL1	0	R1228M
194.087	0.684	199703	PRACTICE_RETRIEVAL_ORIENT_OFF	n/a	5	3	CAMEL	n/a	RING	CAMEL	-1	[0, 0, 0]	-999	PAL1	0	R1228M
194.771	0.0	200387	PRACTICE_PROBE	n/a	5	3	CAMEL	n/a	RING	CAMEL	-1	[0, 0, 0]	-999	PAL1	0	R1228M
194.771	4.017	200387	REC_START	n/a	5	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	0	R1228M
198.788	0.673	204404	PROBE_OFF	n/a	5	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	0	R1228M
199.461	0.328	205077	REC_EVENT	4690	5	3	CAMEL	<>	RING	CAMEL	-1	[0, 0, 0]	-999	PAL1	0	R1228M
199.789	0.016	205405	REC_END	n/a	5	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	0	R1228M
199.805	0.267	205421	PRACTICE_RETRIEVAL_ORIENT	n/a	4	4	TONGUE	n/a	COTTON	TONGUE	-1	[0, 0, 0]	-999	PAL1	0	R1228M
200.072	0.533	205688	PRACTICE_RETRIEVAL_ORIENT_OFF	n/a	4	4	TONGUE	n/a	COTTON	TONGUE	-1	[0, 0, 0]	-999	PAL1	0	R1228M
200.605	0.001	206221	PRACTICE_PROBE	n/a	4	4	TONGUE	n/a	COTTON	TONGUE	-1	[0, 0, 0]	-999	PAL1	0	R1228M
200.606	4.017	206222	REC_START	n/a	4	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	0	R1228M
204.623	0.278	210239	PROBE_OFF	n/a	4	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	0	R1228M
204.901	0.722	210517	REC_EVENT	4295	4	4	TONGUE	<>	COTTON	TONGUE	-1	[0, 0, 0]	-999	PAL1	0	R1228M
205.623	0.017	211239	REC_END	n/a	4	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	0	R1228M
205.64	0.266	211256	PRACTICE_RETRIEVAL_ORIENT	n/a	1	5	IRON	n/a	IRON	RHINO	-1	[0, 0, 0]	-999	PAL1	0	R1228M
205.906	0.567	211522	PRACTICE_RETRIEVAL_ORIENT_OFF	n/a	1	5	IRON	n/a	IRON	RHINO	-1	[0, 0, 0]	-999	PAL1	0	R1228M
206.473	0.001	212089	PRACTICE_PROBE	n/a	1	5	IRON	n/a	IRON	RHINO	-1	[0, 0, 0]	-999	PAL1	0	R1228M
206.474	3.784	212090	REC_START	n/a	1	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	0	R1228M
210.258	0.233	215873	REC_EVENT	3784	1	5	IRON	<>	IRON	RHINO	-1	[0, 0, 0]	-999	PAL1	0	R1228M
210.491	1.0	216106	PROBE_OFF	n/a	1	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	0	R1228M
211.491	0.016	217106	REC_END	n/a	1	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	0	R1228M
211.507	0.267	217122	PRACTICE_RETRIEVAL_ORIENT	n/a	6	6	WAGON	n/a	WAGON	BEAM	-1	[0, 0, 0]	-999	PAL1	0	R1228M
211.774	0.599	217389	PRACTICE_RETRIEVAL_ORIENT_OFF	n/a	4	6	WAGON	n/a	WAGON	BEAM	-1	[0, 0, 0]	-999	PAL1	0	R1228M
212.373	0.001	217988	PRACTICE_PROBE	n/a	6	6	WAGON	n/a	WAGON	BEAM	-1	[0, 0, 0]	-999	PAL1	0	R1228M
212.374	1.044	217989	REC_START	n/a	6	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	0	R1228M
213.418	2.956	219033	REC_EVENT	1044	6	6	WAGON	<>	WAGON	BEAM	-1	[0, 0, 0]	-999	PAL1	0	R1228M
216.374	1.0	221989	PROBE_OFF	n/a	6	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	0	R1228M
217.374	0.011	222989	REC_END	n/a	6	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	0	R1228M
217.385	30.83	223000	RECALL_END	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	0	R1228M
248.215	10.929	253828	TRIAL	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1228M
259.144	0.006	264757	ENCODING_START	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	0	R1228M
259.15	0.266	264763	STUDY_ORIENT	n/a	1	1	TOOTH	n/a	TOOTH	GOLD	1	[0, 0, 0]	-999	PAL1	0	R1228M
259.416	0.584	265029	STUDY_ORIENT_OFF	n/a	1	1	TOOTH	n/a	TOOTH	GOLD	1	[0, 0, 0]	-999	PAL1	0	R1228M
260.0	4.018	265613	STUDY_PAIR	n/a	1	1	TOOTH	n/a	TOOTH	GOLD	1	[0, 0, 0]	-999	PAL1	0	R1228M
264.018	1.016	269630	PAIR_OFF	n/a	1	1	TOOTH	n/a	TOOTH	GOLD	1	[0, 0, 0]	-999	PAL1	0	R1228M
265.034	0.267	270646	STUDY_ORIENT	n/a	2	2	SPARK	n/a	SPARK	MOOSE	1	[0, 0, 0]	-999	PAL1	0	R1228M
265.301	0.7	270913	STUDY_ORIENT_OFF	n/a	2	2	SPARK	n/a	SPARK	MOOSE	1	[0, 0, 0]	-999	PAL1	0	R1228M
266.001	4.018	271613	STUDY_PAIR	n/a	2	2	SPARK	n/a	SPARK	MOOSE	1	[0, 0, 0]	-999	PAL1	0	R1228M
270.019	1.017	275631	PAIR_OFF	n/a	2	2	SPARK	n/a	SPARK	MOOSE	1	[0, 0, 0]	-999	PAL1	0	R1228M
271.036	0.266	276648	STUDY_ORIENT	n/a	3	5	PIE	n/a	PIE	STAIR	1	[0, 0, 0]	-999	PAL1	0	R1228M
271.302	0.534	276914	STUDY_ORIENT_OFF	n/a	3	5	PIE	n/a	PIE	STAIR	1	[0, 0, 0]	-999	PAL1	0	R1228M
271.836	4.017	277448	STUDY_PAIR	n/a	3	5	PIE	n/a	PIE	STAIR	1	[0, 0, 0]	-999	PAL1	0	R1228M
275.853	1.017	281465	PAIR_OFF	n/a	3	5	PIE	n/a	PIE	STAIR	1	[0, 0, 0]	-999	PAL1	0	R1228M
276.87	0.267	282482	STUDY_ORIENT	n/a	4	4	SHELL	SIGN	SHELL	SIGN	1	[0, 0, 0]	-999	PAL1	0	R1228M
277.137	0.7	282749	STUDY_ORIENT_OFF	n/a	4	4	SHELL	SIGN	SHELL	SIGN	1	[0, 0, 0]	-999	PAL1	0	R1228M
277.837	4.017	283448	STUDY_PAIR	n/a	4	4	SHELL	SIGN	SHELL	SIGN	1	[0, 0, 0]	-999	PAL1	0	R1228M
281.854	1.017	287465	PAIR_OFF	n/a	4	4	SHELL	SIGN	SHELL	SIGN	1	[0, 0, 0]	-999	PAL1	0	R1228M
282.871	0.267	288482	STUDY_ORIENT	n/a	5	3	SINK	n/a	STORE	SINK	1	[0, 0, 0]	-999	PAL1	0	R1228M
283.138	0.633	288749	STUDY_ORIENT_OFF	n/a	5	3	SINK	n/a	STORE	SINK	1	[0, 0, 0]	-999	PAL1	0	R1228M
283.771	4.018	289382	STUDY_PAIR	n/a	5	3	SINK	n/a	STORE	SINK	1	[0, 0, 0]	-999	PAL1	0	R1228M
287.789	1.017	293400	PAIR_OFF	n/a	5	3	SINK	n/a	STORE	SINK	1	[0, 0, 0]	-999	PAL1	0	R1228M
288.806	0.267	294417	STUDY_ORIENT	n/a	6	6	CHIN	n/a	CHIN	CASH	1	[0, 0, 0]	-999	PAL1	0	R1228M
