onset	duration	sample	trial_type	response_time	serialpos	probepos	probe_word	resp_word	study_1	study_2	list	test	answer	experiment	session	subject
0.0	35.924	1039	INSTRUCT_START	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	3	R1365N
35.924	3.383	36962	INSTRUCT_END	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	3	R1365N
39.307	8.483	40345	MIC TEST_START	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	3	R1365N
47.79	0.012	48827	MIC TEST_END	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	3	R1365N
47.802	0.001	48839	TRIAL_START	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	3	R1365N
47.803	0.0	48840	TRIAL	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	3	R1365N
47.803	1.839	48840	WAITING_START	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	3	R1365N
49.642	0.001	50679	WAITING_END	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	3	R1365N
49.643	10.429	50680	COUNTDOWN_START	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	3	R1365N
60.072	0.001	61109	COUNTDOWN_END	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	3	R1365N
60.073	0.589	61110	ORIENT_START	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	3	R1365N
60.662	0.0	61699	ORIENT_END	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	3	R1365N
60.662	1.154	61699	ENCODING_START	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	3	R1365N
61.816	4.03	62853	STUDY_PAIR	n/a	1	-999	n/a	TONGUE	FLOOD	TONGUE	-1	[0, 0, 0]	-999	PAL1	3	R1365N
65.846	0.557	66883	STUDY_PAIR_OFF	n/a	1	-999	n/a	TONGUE	FLOOD	TONGUE	-1	[0, 0, 0]	-999	PAL1	3	R1365N
66.403	4.009	67440	STUDY_PAIR	n/a	2	-999	n/a	CAMEL	CAMEL	BABY	-1	[0, 0, 0]	-999	PAL1	3	R1365N
70.412	0.526	71448	STUDY_PAIR_OFF	n/a	2	-999	n/a	CAMEL	CAMEL	BABY	-1	[0, 0, 0]	-999	PAL1	3	R1365N
70.938	4.026	71974	STUDY_PAIR	n/a	3	-999	n/a	n/a	BEAM	RING	-1	[0, 0, 0]	-999	PAL1	3	R1365N
74.964	0.577	76000	STUDY_PAIR_OFF	n/a	3	-999	n/a	n/a	BEAM	RING	-1	[0, 0, 0]	-999	PAL1	3	R1365N
75.541	4.04	76577	STUDY_PAIR	n/a	4	-999	n/a	IMAGE	IMAGE	WAGON	-1	[0, 0, 0]	-999	PAL1	3	R1365N
79.581	0.588	80617	STUDY_PAIR_OFF	n/a	4	-999	n/a	IMAGE	IMAGE	WAGON	-1	[0, 0, 0]	-999	PAL1	3	R1365N
80.169	4.03	81205	STUDY_PAIR	n/a	5	-999	n/a	n/a	WATCH	COTTON	-1	[0, 0, 0]	-999	PAL1	3	R1365N
84.199	0.532	85235	STUDY_PAIR_OFF	n/a	5	-999	n/a	n/a	WATCH	COTTON	-1	[0, 0, 0]	-999	PAL1	3	R1365N
84.731	4.035	85767	STUDY_PAIR	n/a	6	-999	n/a	CHEST	RHINO	CHEST	-1	[0, 0, 0]	-999	PAL1	3	R1365N
