onset	duration	sample	trial_type	response_time	serialpos	probepos	probe_word	resp_word	study_1	study_2	list	test	answer	experiment	session	subject
0.0	66.583	117031	SESS_START	n/a	-999	-999	n/a	n/a	n/a	n/a	-999	[0, 0, 0]	-999	PAL1	3	R1121M
66.583	1.017	150319	START	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[-999, -999, -999]	-999	PAL1	3	R1121M
67.6	6.719	150828	PROB	6696	-999	-999	n/a	n/a	n/a	n/a	1	[3, 4, 6]	13	PAL1	3	R1121M
74.319	6.051	154187	PROB	6017	-999	-999	n/a	n/a	n/a	n/a	1	[8, 2, 8]	18	PAL1	3	R1121M
80.37	6.541	157212	PROB	6541	-999	-999	n/a	n/a	n/a	n/a	1	[7, 5, 4]	16	PAL1	3	R1121M
86.911	49.8	160483	STOP	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[-999, -999, -999]	-999	PAL1	3	R1121M
136.711	10.438	185381	STUDY_START	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	3	R1121M
147.149	0.85	190599	STUDY_ORIENT	n/a	1	1	TIE	DIME	TIE	DIME	1	[0, 0, 0]	-999	PAL1	3	R1121M
147.999	5.018	191024	STUDY_PAIR	n/a	1	1	TIE	DIME	TIE	DIME	1	[0, 0, 0]	-999	PAL1	3	R1121M
153.017	0.833	193533	STUDY_ORIENT	n/a	2	4	NEST	n/a	ELF	NEST	1	[0, 0, 0]	-999	PAL1	3	R1121M
153.85	5.018	193949	STUDY_PAIR	n/a	2	4	NEST	n/a	ELF	NEST	1	[0, 0, 0]	-999	PAL1	3	R1121M
158.868	0.8	196458	STUDY_ORIENT	n/a	3	5	APE	n/a	SHELL	APE	1	[0, 0, 0]	-999	PAL1	3	R1121M
159.668	5.018	196858	STUDY_PAIR	n/a	3	5	APE	n/a	SHELL	APE	1	[0, 0, 0]	-999	PAL1	3	R1121M
164.686	0.883	199367	STUDY_ORIENT	n/a	4	2	WEB	n/a	BOOT	WEB	1	[0, 0, 0]	-999	PAL1	3	R1121M
165.569	5.018	199808	STUDY_PAIR	n/a	4	2	WEB	n/a	BOOT	WEB	1	[0, 0, 0]	-999	PAL1	3	R1121M
170.587	0.835	202317	STUDY_ORIENT	n/a	5	3	COIN	n/a	FLEA	COIN	1	[0, 0, 0]	-999	PAL1	3	R1121M
171.422	5.033	202735	STUDY_PAIR	n/a	5	3	COIN	n/a	FLEA	COIN	1	[0, 0, 0]	-999	PAL1	3	R1121M
176.455	0.783	205251	STUDY_ORIENT	n/a	6	6	SAIL	NAIL	SAIL	JAIL	1	[0, 0, 0]	-999	PAL1	3	R1121M
177.238	4.001	205642	STUDY_PAIR	n/a	6	6	SAIL	NAIL	SAIL	JAIL	1	[0, 0, 0]	-999	PAL1	3	R1121M
181.239	1.0	207643	START	n/a	-999	-999	n/a	n/a	n/a	n/a	2	[-999, -999, -999]	-999	PAL1	3	R1121M
182.239	0.017	208143	MATH_START	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	3	R1121M
182.256	55.104	208151	PROB	55104	-999	-999	n/a	n/a	n/a	n/a	2	[7, 9, 8]	10	PAL1	3	R1121M
237.36	0.008	235701	STOP	n/a	-999	-999	n/a	n/a	n/a	n/a	2	[-999, -999, -999]	-999	PAL1	3	R1121M
237.368	0.0	235705	MATH_END	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	3	R1121M
237.368	0.017	235705	TEST_START	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	3	R1121M
237.385	0.9	235714	TEST_ORIENT	n/a	1	1	TIE	DIME	TIE	DIME	1	[0, 0, 0]	-999	PAL1	3	R1121M
238.285	0.001	236164	TEST_PROBE	n/a	1	1	TIE	DIME	TIE	DIME	1	[0, 0, 0]	-999	PAL1	3	R1121M
238.286	1.489	236164	REC_START	n/a	1	-999	n/a	DIME	n/a	n/a	1	[0, 0, 0]	-999	PAL1	3	R1121M
239.775	3.535	236908	REC_EVENT	1489	1	1	TIE	DIME	TIE	DIME	1	[0, 0, 0]	-999	PAL1	3	R1121M
243.31	0.009	238676	REC_END	n/a	1	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	3	R1121M
