onset	duration	sample	trial_type	response_time	stim_file	serialpos	probepos	probe_word	resp_word	study_1	study_2	list	test	answer	experiment	session	subject
0.0	88.003	124072	SESS_START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-999	[0, 0, 0]	-999	PAL1	1	R1100D
88.003	1.016	264870	START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[-999, -999, -999]	-999	PAL1	1	R1100D
89.019	4.285	266496	PROB	4.255	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[8, 5, 2]	15	PAL1	1	R1100D
93.304	3.051	273352	PROB	3.018	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[8, 8, 8]	24	PAL1	1	R1100D
96.355	3.566	278233	PROB	3.542	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[6, 1, 7]	14	PAL1	1	R1100D
99.921	3.268	283938	PROB	3.232	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[4, 4, 8]	16	PAL1	1	R1100D
103.189	3.633	289167	PROB	3.612	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[7, 5, 6]	18	PAL1	1	R1100D
106.822	3.099	294979	PROB	3.099	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[3, 1, 8]	12	PAL1	1	R1100D
109.921	44.257	299938	STOP	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[-999, -999, -999]	-999	PAL1	1	R1100D
154.178	10.439	370745	ENCODING_START	n/a	n/a	0	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	1	R1100D
164.617	0.275	387447	STUDY_ORIENT	n/a	n/a	1	3	DOCK	n/a	DOCK	CAGE	1	[0, 0, 0]	-999	PAL1	1	R1100D
165.401	4.0	388701	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	1	3	DOCK	n/a	DOCK	CAGE	1	[0, 0, 0]	-999	PAL1	1	R1100D
170.435	0.275	396755	STUDY_ORIENT	n/a	n/a	2	4	PURSE	PASS	PEN	PURSE	1	[0, 0, 0]	-999	PAL1	1	R1100D
171.419	4.0	398330	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	2	4	PURSE	PASS	PEN	PURSE	1	[0, 0, 0]	-999	PAL1	1	R1100D
176.453	0.275	406384	STUDY_ORIENT	n/a	n/a	3	5	SHIELD	n/a	SHIELD	TOAD	1	[0, 0, 0]	-999	PAL1	1	R1100D
177.437	4.0	407958	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	3	5	SHIELD	n/a	SHIELD	TOAD	1	[0, 0, 0]	-999	PAL1	1	R1100D
182.471	0.275	416012	STUDY_ORIENT	n/a	n/a	4	2	JUICE	PASS	JUICE	LIP	1	[0, 0, 0]	-999	PAL1	1	R1100D
183.371	4.0	417452	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	4	2	JUICE	PASS	JUICE	LIP	1	[0, 0, 0]	-999	PAL1	1	R1100D
188.405	0.275	425506	STUDY_ORIENT	n/a	n/a	5	1	MILK	n/a	MILK	LAMP	1	[0, 0, 0]	-999	PAL1	1	R1100D
189.305	4.0	426946	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	5	1	MILK	n/a	MILK	LAMP	1	[0, 0, 0]	-999	PAL1	1	R1100D
