onset	duration	sample	trial_type	response_time	stim_file	serialpos	probepos	probe_word	resp_word	study_1	study_2	list	test	answer	experiment	session	subject
0.0	75.069	15444	SESS_START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-999	[0, 0, 0]	-999	PAL1	2	R1212P
75.069	1.017	92311	START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[-999, -999, -999]	-999	PAL1	2	R1212P
76.086	4.618	93353	PROB	4597.0	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[8, 3, 8]	19	PAL1	2	R1212P
80.704	2.767	98081	PROB	2740.0	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[5, 4, 2]	11	PAL1	2	R1212P
83.471	1.817	100914	PROB	1796.0	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[1, 6, 4]	11	PAL1	2	R1212P
85.288	2.817	102775	PROB	2787.0	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[5, 8, 9]	23	PAL1	2	R1212P
88.105	5.651	105659	PROB	5618.0	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[6, 7, 6]	19	PAL1	2	R1212P
93.756	2.471	111446	PROB	2471.0	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[8, 8, 5]	21	PAL1	2	R1212P
96.227	39.808	113976	STOP	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[-999, -999, -999]	-999	PAL1	2	R1212P
136.035	10.448	154738	ENCODING_START	n/a	n/a	0	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	2	R1212P
146.483	0.275	165436	STUDY_ORIENT	n/a	n/a	1	3	SCHOOL	GLASS	GLASS	SCHOOL	1	[0, 0, 0]	-999	PAL1	2	R1212P
147.451	4.0	166427	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	1	3	SCHOOL	GLASS	GLASS	SCHOOL	1	[0, 0, 0]	-999	PAL1	2	R1212P
152.484	0.275	171581	STUDY_ORIENT	n/a	n/a	2	4	FLUTE	STREET	FLUTE	STREET	1	[0, 0, 0]	-999	PAL1	2	R1212P
153.402	4.0	172520	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	2	4	FLUTE	STREET	FLUTE	STREET	1	[0, 0, 0]	-999	PAL1	2	R1212P
158.436	0.275	177675	STUDY_ORIENT	n/a	n/a	3	5	LAWN	STRAW	LAWN	STRAW	1	[0, 0, 0]	-999	PAL1	2	R1212P
159.285	4.0	178544	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	3	5	LAWN	STRAW	LAWN	STRAW	1	[0, 0, 0]	-999	PAL1	2	R1212P
164.303	0.275	183683	STUDY_ORIENT	n/a	n/a	4	6	PURSE	ARM	ARM	PURSE	1	[0, 0, 0]	-999	PAL1	2	R1212P
165.186	4.0	184587	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	4	6	PURSE	ARM	ARM	PURSE	1	[0, 0, 0]	-999	PAL1	2	R1212P
170.204	0.275	189725	STUDY_ORIENT	n/a	n/a	5	1	JAR	WORLD	JAR	WORLD	1	[0, 0, 0]	-999	PAL1	2	R1212P
171.021	4.0	190562	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	5	1	JAR	WORLD	JAR	WORLD	1	[0, 0, 0]	-999	PAL1	2	R1212P
176.055	0.275	195716	STUDY_ORIENT	n/a	n/a	6	2	ANT	n/a	STORE	ANT	1	[0, 0, 0]	-999	PAL1	2	R1212P
176.989	4.0	196672	STUDY_PAIR	n/a	wordpools/wordpool_EN.txt	6	2	ANT	n/a	STORE	ANT	1	[0, 0, 0]	-999	PAL1	2	R1212P
181.007	0.999	200787	START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[-999, -999, -999]	-999	PAL1	2	R1212P
182.006	0.017	201810	MATH_START	n/a	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[0, 0, 0]	-999	PAL1	2	R1212P
182.023	4.718	201827	PROB	4684.0	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[6, 3, 8]	17	PAL1	2	R1212P
186.741	2.55	206658	PROB	2526.0	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[9, 2, 8]	19	PAL1	2	R1212P
189.291	10.502	209269	PROB	10480.0	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[5, 8, 1]	14	PAL1	2	R1212P
199.793	3.114	220023	PROB	3114.0	n/a	-999	-999	n/a	n/a	n/a	n/a	1	[4, 2, 8]	14	PAL1	2	R1212P
