onset	duration	sample	trial_type	response_time	serialpos	probepos	probe_word	resp_word	study_1	study_2	list	test	answer	experiment	session	subject
0.0	0.0	52297	INSTRUCT_VIDEO_ON	n/a	-999	-999	n/a	n/a	n/a	n/a	-999	[0, 0, 0]	-999	PAL1	0	R1303E
0.0	5.501	52297	INSTRUCT_VIDEO_OFF	n/a	-999	-999	n/a	n/a	n/a	n/a	-999	[0, 0, 0]	-999	PAL1	0	R1303E
5.501	0.0	57798	SESS_START	n/a	-999	-999	n/a	n/a	n/a	n/a	-999	[0, 0, 0]	-999	PAL1	0	R1303E
5.501	261.42	57798	MIC_TEST	n/a	-999	-999	n/a	n/a	n/a	n/a	-999	[0, 0, 0]	-999	PAL1	0	R1303E
266.921	19.322	319208	PRACTICE_TRIAL	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	0	R1303E
286.243	0.006	338529	ENCODING_START	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	0	R1303E
286.249	0.267	338535	PRACTICE_ORIENT	n/a	1	5	FLOOD	n/a	RHINO	FLOOD	-1	[0, 0, 0]	-999	PAL1	0	R1303E
286.516	0.651	338802	PRACTICE_ORIENT_OFF	n/a	1	5	FLOOD	n/a	RHINO	FLOOD	-1	[0, 0, 0]	-999	PAL1	0	R1303E
287.167	4.018	339453	PRACTICE_PAIR	n/a	1	5	FLOOD	n/a	RHINO	FLOOD	-1	[0, 0, 0]	-999	PAL1	0	R1303E
291.185	1.016	343471	PRACTICE_PAIR_OFF	n/a	1	5	FLOOD	n/a	RHINO	FLOOD	-1	[0, 0, 0]	-999	PAL1	0	R1303E
292.201	0.266	344487	PRACTICE_ORIENT	n/a	2	4	CAMEL	CHEST	CAMEL	RING	-1	[0, 0, 0]	-999	PAL1	0	R1303E
292.467	0.618	344753	PRACTICE_ORIENT_OFF	n/a	2	4	CAMEL	CHEST	CAMEL	RING	-1	[0, 0, 0]	-999	PAL1	0	R1303E
293.085	4.017	345371	PRACTICE_PAIR	n/a	2	4	CAMEL	CHEST	CAMEL	RING	-1	[0, 0, 0]	-999	PAL1	0	R1303E
297.102	1.017	349387	PRACTICE_PAIR_OFF	n/a	2	4	CAMEL	CHEST	CAMEL	RING	-1	[0, 0, 0]	-999	PAL1	0	R1303E
298.119	0.266	350404	PRACTICE_ORIENT	n/a	3	3	CHEST	n/a	CHEST	ATTIC	-1	[0, 0, 0]	-999	PAL1	0	R1303E
298.385	0.634	350670	PRACTICE_ORIENT_OFF	n/a	3	3	CHEST	n/a	CHEST	ATTIC	-1	[0, 0, 0]	-999	PAL1	0	R1303E
299.019	4.018	351304	PRACTICE_PAIR	n/a	3	3	CHEST	n/a	CHEST	ATTIC	-1	[0, 0, 0]	-999	PAL1	0	R1303E
303.037	1.016	355322	PRACTICE_PAIR_OFF	n/a	3	3	CHEST	n/a	CHEST	ATTIC	-1	[0, 0, 0]	-999	PAL1	0	R1303E
304.053	0.266	356338	PRACTICE_ORIENT	n/a	4	6	TONGUE	MOUTH	IRON	TONGUE	-1	[0, 0, 0]	-999	PAL1	0	R1303E
304.319	0.567	356604	PRACTICE_ORIENT_OFF	n/a	4	6	TONGUE	MOUTH	IRON	TONGUE	-1	[0, 0, 0]	-999	PAL1	0	R1303E
304.886	4.017	357171	PRACTICE_PAIR	n/a	4	6	TONGUE	MOUTH	IRON	TONGUE	-1	[0, 0, 0]	-999	PAL1	0	R1303E
308.903	1.017	361188	PRACTICE_PAIR_OFF	n/a	4	6	TONGUE	MOUTH	IRON	TONGUE	-1	[0, 0, 0]	-999	PAL1	0	R1303E
309.92	0.251	362205	PRACTICE_ORIENT	n/a	5	1	COTTON	n/a	COTTON	WATCH	-1	[0, 0, 0]	-999	PAL1	0	R1303E
310.171	0.716	362456	PRACTICE_ORIENT_OFF	n/a	5	1	COTTON	n/a	COTTON	WATCH	-1	[0, 0, 0]	-999	PAL1	0	R1303E
310.887	4.017	363172	PRACTICE_PAIR	n/a	5	1	COTTON	n/a	COTTON	WATCH	-1	[0, 0, 0]	-999	PAL1	0	R1303E
314.904	1.017	367189	PRACTICE_PAIR_OFF	n/a	5	1	COTTON	n/a	COTTON	WATCH	-1	[0, 0, 0]	-999	PAL1	0	R1303E
315.921	0.268	368206	PRACTICE_ORIENT	n/a	6	2	BEAM	n/a	WAGON	BEAM	-1	[0, 0, 0]	-999	PAL1	0	R1303E
316.189	0.565	368474	PRACTICE_ORIENT_OFF	n/a	6	2	BEAM	n/a	WAGON	BEAM	-1	[0, 0, 0]	-999	PAL1	0	R1303E
316.754	4.018	369039	PRACTICE_PAIR	n/a	6	2	BEAM	n/a	WAGON	BEAM	-1	[0, 0, 0]	-999	PAL1	0	R1303E
320.772	1.0	373057	PRACTICE_PAIR_OFF	n/a	6	2	BEAM	n/a	WAGON	BEAM	-1	[0, 0, 0]	-999	PAL1	0	R1303E
321.772	0.0	374057	ENCODING_END	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	0	R1303E
321.772	0.001	374057	MATH_START	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	0	R1303E
321.773	0.016	374058	START	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[-999, -999, -999]	-999	PAL1	0	R1303E
321.789	12.735	374074	PROB	12702	-999	-999	n/a	n/a	n/a	n/a	-1	[1, 2, 7]	10	PAL1	0	R1303E
334.524	13.331	386808	PROB	13331	-999	-999	n/a	n/a	n/a	n/a	-1	[8, 7, 9]	23	PAL1	0	R1303E
347.855	0.022	400138	STOP	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[-999, -999, -999]	-999	PAL1	0	R1303E
347.877	0.0	400160	MATH_END	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	0	R1303E
347.877	0.017	400160	RECALL_START	n/a	-999	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	0	R1303E
347.894	0.267	400177	PRACTICE_RETRIEVAL_ORIENT	n/a	5	1	COTTON	n/a	COTTON	WATCH	-1	[0, 0, 0]	-999	PAL1	0	R1303E
348.161	0.666	400444	PRACTICE_RETRIEVAL_ORIENT_OFF	n/a	5	1	COTTON	n/a	COTTON	WATCH	-1	[0, 0, 0]	-999	PAL1	0	R1303E
348.827	0.006	401110	PRACTICE_PROBE	n/a	5	1	COTTON	n/a	COTTON	WATCH	-1	[0, 0, 0]	-999	PAL1	0	R1303E
348.833	4.011	401116	REC_START	n/a	5	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	0	R1303E
352.844	0.998	405127	PROBE_OFF	n/a	5	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	0	R1303E
353.842	0.002	406125	REC_EVENT	5009	5	1	COTTON	<>	COTTON	WATCH	-1	[0, 0, 0]	-999	PAL1	0	R1303E
353.844	0.017	406127	REC_END	n/a	5	-999	n/a	n/a	n/a	n/a	-1	[0, 0, 0]	-999	PAL1	0	R1303E
353.861	0.251	406144	PRACTICE_RETRIEVAL_ORIENT	n/a	6	2	BEAM	n/a	WAGON	BEAM	-1	[0, 0, 0]	-999	PAL1	0	R1303E
354.112	0.532	406395	PRACTICE_RETRIEVAL_ORIENT_OFF	n/a	6	2	BEAM	n/a	WAGON	BEAM	-1	[0, 0, 0]	-999	PAL1	0	R1303E
354.644	0.001	406927	PRACTICE_PROBE	n/a	6	2	BEAM	n/a	WAGON	BEAM	-1	[0, 0, 0]	-999	PAL1	0	R1303E
